¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="1301"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
1,1020¦X¡@¡@®w,83.70,1000,0,,2,1020¦X¡@¡@®w,83.80,3000,0 
3,1020¦X¡@¡@®w,84.00,1000,0,,4,1020¦X¡@¡@®w,84.50,2000,0 
5,1020¦X¡@¡@®w,84.70,1000,0,,6,1020¦X¡@¡@®w,85.00,1000,0 
7,1020¦X¡@¡@®w,85.10,1000,0,,8,1020¦X¡@¡@®w,85.20,5000,0 
9,1020¦X¡@¡@®w,85.30,2000,0,,10,1021¦X®w¥x¤¤,84.10,1000,0 
11,1021¦X®w¥x¤¤,84.20,1000,0,,12,1021¦X®w¥x¤¤,84.40,30,0 
13,1021¦X®w¥x¤¤,84.50,0,1000,,14,1021¦X®w¥x¤¤,84.60,1000,0 
15,1021¦X®w¥x¤¤,84.70,1000,0,,16,1021¦X®w¥x¤¤,85.00,1000,0 
17,1021¦X®w¥x¤¤,85.10,3000,2000,,18,1021¦X®w¥x¤¤,85.20,1000,0 
19,1021¦X®w¥x¤¤,85.40,0,2000,,20,1022¦X®w¥x«n,83.90,1000,0 
21,1022¦X®w¥x«n,84.00,2000,0,,22,1022¦X®w¥x«n,84.10,3000,0 
23,1022¦X®w¥x«n,84.30,1000,0,,24,1022¦X®w¥x«n,85.10,1000,0 
25,1022¦X®w¥x«n,85.30,1000,0,,26,1023¦X®w°ª¶¯,84.20,1000,0 
27,1023¦X®w°ª¶¯,85.10,2000,0,,28,1023¦X®w°ª¶¯,85.30,1000,0 
29,1023¦X®w°ª¶¯,85.40,1000,0,,30,1023¦X®w°ª¶¯,85.50,5000,0 
31,1024¦X®w¹Å¸q,83.80,1000,0,,32,1024¦X®w¹Å¸q,84.10,1000,0 
33,1024¦X®w¹Å¸q,84.60,1000,0,,34,1024¦X®w¹Å¸q,85.00,0,1000 
35,1024¦X®w¹Å¸q,85.20,10000,0,,36,1025¦X®w°ò¶©,84.10,1000,0 
37,1025¦X®w°ò¶©,84.40,121,0,,38,1025¦X®w°ò¶©,85.10,1000,0 
39,1028¦X®w¹ü¤Æ,83.60,1000,0,,40,1028¦X®w¹ü¤Æ,83.80,1000,0 
41,1029¦X®w»ñ¤s,83.80,9000,0,,42,1029¦X®w»ñ¤s,83.90,1000,0 
43,1029¦X®w»ñ¤s,84.00,12000,0,,44,1029¦X®w»ñ¤s,84.40,300,0 
45,1029¦X®w»ñ¤s,84.60,1000,0,,46,1029¦X®w»ñ¤s,85.00,1000,0 
47,102A¦X®w·s¦Ë,83.80,1000,0,,48,102A¦X®w·s¦Ë,84.10,1000,0 
49,102A¦X®w·s¦Ë,84.80,1000,0,,50,102C¦X®w¦Û±j,83.60,1000,0 
51,102C¦X®w¦Û±j,83.90,3000,0,,52,102C¦X®w¦Û±j,84.00,1000,0 
53,102C¦X®w¦Û±j,84.80,1000,0,,54,102C¦X®w¦Û±j,84.90,1000,0 
55,102F¦X®w¦è¥x,83.80,4000,0,,56,102F¦X®w¦è¥x,84.60,1000,0 
57,102F¦X®w¦è¥x,85.00,1000,0,,58,102G¦X®w¤T­«,83.80,1000,0 
59,102G¦X®w¤T­«,83.90,1000,0,,60,1030¤g¡@¡@»È,84.20,10000,0 
61,1031¤g»È¥x¤¤,84.40,200,0,,62,1032¤g»È¥x«n,83.80,1000,0 
63,1032¤g»È¥x«n,84.00,2000,0,,64,1033¤g»È°ª¶¯,83.80,5000,0 
65,1033¤g»È°ª¶¯,84.00,6000,0,,66,1033¤g»È°ª¶¯,84.60,1000,0 
67,1034¤g»È¹Å¸q,83.80,0,10000,,68,1034¤g»È¹Å¸q,84.50,1000,0 
69,1034¤g»È¹Å¸q,84.70,1000,0,,70,1034¤g»È¹Å¸q,85.10,0,5000 
71,1034¤g»È¹Å¸q,85.30,0,5000,,72,1035¤g»È·s¦Ë,84.00,1000,0 
73,1035¤g»È·s¦Ë,84.10,2000,0,,74,1035¤g»È·s¦Ë,85.00,1000,0 
75,1037¤g»Èªá½¬,83.80,1000,1000,,76,1037¤g»Èªá½¬,84.00,6000,0 
77,1037¤g»Èªá½¬,84.60,3000,0,,78,1037¤g»Èªá½¬,85.00,2000,0 
79,103A¤g»È«Ø°ê,84.00,2000,0,,80,103A¤g»È«Ø°ê,84.50,1000,0 
81,103B¤g»È¹ü¤Æ,84.00,1000,0,,82,103B¤g»È¹ü¤Æ,84.60,1000,0 
83,103C¤g»È¥Õªe,84.30,5000,0,,84,103C¤g»È¥Õªe,84.60,2000,0 
85,103F¤g»È«n´ä,84.10,1000,0,,86,103F¤g»È«n´ä,85.10,1000,0 
87,103F¤g»È«n´ä,85.50,0,1000,,88,1040»O    »È,83.80,5000,1000 
89,1040»O    »È,84.00,4000,0,,90,1040»O    »È,84.10,25000,0 
91,1040»O    »È,84.70,3000,0,,92,1040»O    »È,85.00,4000,1000 
93,1040»O    »È,85.10,3000,0,,94,1040»O    »È,85.40,1000,0 
95,1041»O»È»ñ¤s,83.70,1000,0,,96,1041»O»È»ñ¤s,83.80,2000,0 
97,1041»O»È»ñ¤s,83.90,4000,0,,98,1041»O»È»ñ¤s,84.00,5000,21000 
99,1041»O»È»ñ¤s,84.10,5000,2000,,100,1041»O»È»ñ¤s,84.20,1000,0 
101,1041»O»È»ñ¤s,84.40,0,280,,102,1041»O»È»ñ¤s,84.70,1000,0 
103,1041»O»È»ñ¤s,85.00,3000,1000,,104,1041»O»È»ñ¤s,85.30,1000,0 
105,1042»O»È»O«n,83.80,4000,1000,,106,1042»O»È»O«n,84.00,2000,0 
107,1042»O»È»O«n,84.10,5000,0,,108,1042»O»È»O«n,84.20,2000,0 
109,1042»O»È»O«n,84.60,1000,0,,110,1042»O»È»O«n,85.00,2000,0 
111,1042»O»È»O«n,85.10,3000,0,,112,1042»O»È»O«n,85.20,1000,0 
113,1042»O»È»O«n,85.30,1000,0,,114,1043»O»È¥ÁÅv,83.80,2000,0 
115,1043»O»È¥ÁÅv,84.20,1000,0,,116,1043»O»È¥ÁÅv,85.00,1000,0 
117,1043»O»È¥ÁÅv,85.30,1000,0,,118,1045»O»È·s¦Ë,83.80,1000,0 
119,1045»O»È·s¦Ë,84.20,2000,0,,120,1045»O»È·s¦Ë,84.50,5000,0 
121,1045»O»È·s¦Ë,84.70,1000,0,,122,1045»O»È·s¦Ë,84.80,1000,0 
123,1045»O»È·s¦Ë,85.00,1000,0,,124,104A»O»È»O¤¤,83.80,3000,0 
125,104A»O»È»O¤¤,83.90,1000,0,,126,104A»O»È»O¤¤,84.00,1000,3000 
127,104A»O»È»O¤¤,84.10,7000,0,,128,104A»O»È»O¤¤,84.20,1000,1000 
129,104A»O»È»O¤¤,84.40,1000,0,,130,104A»O»È»O¤¤,84.60,1000,0 
131,104A»O»È»O¤¤,84.90,1000,0,,132,104A»O»È»O¤¤,85.00,5000,0 
133,104A»O»È»O¤¤,85.30,1000,0,,134,104A»O»È»O¤¤,85.40,4000,0 
135,104C»O»È°ª¶¯,83.70,1000,0,,136,104C»O»È°ª¶¯,83.80,7000,0 
137,104C»O»È°ª¶¯,84.00,6000,0,,138,104C»O»È°ª¶¯,84.20,2000,0 
139,104C»O»È°ª¶¯,84.50,1000,0,,140,104C»O»È°ª¶¯,84.70,3000,0 
141,104C»O»È°ª¶¯,85.00,2000,0,,142,104C»O»È°ª¶¯,85.10,5000,1000 
143,104C»O»È°ª¶¯,85.20,1000,0,,144,104C»O»È°ª¶¯,85.30,4000,0 
145,104D»O»Èª÷¤s,84.00,4000,1000,,146,104D»O»Èª÷¤s,84.10,3000,0 
147,104D»O»Èª÷¤s,84.60,2000,0,,148,104D»O»Èª÷¤s,85.00,5000,0 
149,104D»O»Èª÷¤s,85.20,6000,0,,150,104D»O»Èª÷¤s,85.30,1000,2000 
151,1110¥ø    »È,83.90,1000,0,,152,1110¥ø    »È,84.20,1000,0 
153,1110¥ø    »È,84.60,1000,0,,154,1111¥ø»È¥x¤¤,85.00,0,2000 
155,1112¥ø»È¥x«n,85.40,1000,0,,156,1113¥ø»È¤E¦p,84.70,1000,0 
157,1114¥ø»È¹Å¸q,83.80,1000,0,,158,1114¥ø»È¹Å¸q,84.00,20000,0 
159,1114¥ø»È¹Å¸q,84.20,1000,0,,160,1115¥ø»È¤Ó¥­,84.00,1000,0 
161,1115¥ø»È¤Ó¥­,84.60,2000,0,,162,1116¥ø»È«ÌªF,84.10,1000,0 
163,1117¥ø»È¦Ë¥_,83.90,0,2000,,164,1118¥ø»ÈÂ×­ì,83.80,1000,0 
165,1118¥ø»ÈÂ×­ì,84.10,2000,0,,166,1119¥ø»È©£¤s,83.80,1000,0 
167,1119¥ø»È©£¤s,84.00,1000,0,,168,1119¥ø»È©£¤s,84.50,6000,0 
169,111B¥x¥ø«Ø¦¨,83.80,0,1000,,170,111C¥x¥ø¤T¥Á,84.10,2000,0 
171,111E¥ø»È®ç¶é,84.00,2000,0,,172,111E¥ø»È®ç¶é,85.00,2000,0 
173,111E¥ø»È®ç¶é,85.30,2000,0,,174,111F¥ø»È¥_°ª,84.90,1000,0 
175,111G¥ø»È®HáY,83.80,2000,0,,176,111G¥ø»È®HáY,84.40,100,0 
177,1160¤é    ²±,83.70,3000,0,,178,1160¤é    ²±,83.80,15000,0 
179,1160¤é    ²±,83.90,22000,0,,180,1160¤é    ²±,84.00,43000,0 
181,1160¤é    ²±,84.10,49000,0,,182,1160¤é    ²±,84.20,73000,0 
183,1160¤é    ²±,84.30,3000,0,,184,1160¤é    ²±,84.50,6000,0 
185,1160¤é    ²±,84.60,18000,0,,186,1160¤é    ²±,84.70,36000,0 
187,1160¤é    ²±,84.80,1000,0,,188,1160¤é    ²±,84.90,3000,0 
189,1160¤é    ²±,85.00,31000,0,,190,1160¤é    ²±,85.10,160000,0 
191,1160¤é    ²±,85.20,92000,0,,192,1160¤é    ²±,85.30,33000,0 
193,1160¤é    ²±,85.40,45000,0,,194,1160¤é    ²±,85.50,6000,0 
195,1161¤é²±©¾§µ,83.80,1000,0,,196,1161¤é²±©¾§µ,85.20,3000,0 
197,1162¤é²±¥x«n,84.00,1000,0,,198,1162¤é²±¥x«n,84.90,2000,0 
199,1163¤é²±¥x¤¤,84.20,1000,0,,200,1163¤é²±¥x¤¤,84.60,1000,0 
201,1163¤é²±¥x¤¤,85.00,1000,0,,202,1165¤é²±ªO¾ô,83.80,5000,0 
203,1165¤é²±ªO¾ô,84.00,12000,0,,204,1165¤é²±ªO¾ô,84.20,1000,0 
205,1165¤é²±ªO¾ô,85.20,5000,0,,206,1165¤é²±ªO¾ô,85.40,3000,0 
207,1166¤é²±Âù©M,83.80,1000,0,,208,1166¤é²±Âù©M,84.00,1000,0 
209,1166¤é²±Âù©M,84.20,1000,0,,210,1166¤é²±Âù©M,85.10,1000,0 
211,1166¤é²±Âù©M,85.30,1000,0,,212,1167¤é²±¹Å¸q,83.90,2000,0 
213,1167¤é²±¹Å¸q,84.00,14000,0,,214,1168¤é²±°ª¶¯,84.00,1000,0 
215,1168¤é²±°ª¶¯,84.10,1000,1000,,216,1168¤é²±°ª¶¯,84.20,1000,0 
217,1168¤é²±°ª¶¯,84.50,2000,0,,218,1168¤é²±°ª¶¯,84.60,2000,0 
219,1169¤é²±¤hªL,84.10,5000,0,,220,1169¤é²±¤hªL,84.50,10000,0 
221,1169¤é²±¤hªL,85.00,5000,0,,222,116A¤é²±¤ì¬],83.80,1000,0 
223,116A¤é²±¤ì¬],84.10,2000,0,,224,116A¤é²±¤ì¬],85.00,1000,0 
225,116A¤é²±¤ì¬],85.20,1000,0,,226,116A¤é²±¤ì¬],85.30,1000,4000 
227,116B¤é²±¤¤Ãc,83.80,2000,0,,228,116B¤é²±¤¤Ãc,84.60,4000,0 
229,116B¤é²±¤¤Ãc,84.80,2000,0,,230,116B¤é²±¤¤Ãc,85.10,0,2000 
231,116B¤é²±¤¤Ãc,85.30,2000,0,,232,116c¤é²±Â×­ì,84.10,0,1000 
233,116c¤é²±Â×­ì,84.20,2000,1000,,234,116c¤é²±Â×­ì,85.00,1000,0 
235,116c¤é²±Â×­ì,85.20,0,2000,,236,116C¤é²±¤K¼w,84.10,11000,0 
237,116C¤é²±¤K¼w,84.20,11000,0,,238,116C¤é²±¤K¼w,84.80,2000,0 
239,116C¤é²±¤K¼w,85.10,1000,0,,240,116e¤é²±¦Ë¥_,83.80,2000,0 
241,116E¤é²±¤T­«,83.80,1000,0,,242,116E¤é²±¤T­«,85.60,0,2000 
243,116F¤é²±­ûªL,85.40,32000,0,,244,116G¤é²±´º¬ü,83.60,1000,0 
245,116G¤é²±´º¬ü,83.80,4000,0,,246,116G¤é²±´º¬ü,84.00,1000,1000 
247,116G¤é²±´º¬ü,84.20,2000,0,,248,116G¤é²±´º¬ü,84.80,1000,0 
249,116G¤é²±´º¬ü,85.20,0,6000,,250,116G¤é²±´º¬ü,85.40,1000,0 
251,116H¤é²±·s¦Ë,84.00,1000,0,,252,116i¤é²±¾ðªL,83.80,5000,1000 
253,116i¤é²±¾ðªL,84.00,1000,0,,254,116i¤é²±¾ðªL,84.10,1000,0 
255,116i¤é²±¾ðªL,84.20,1000,0,,256,116i¤é²±¾ðªL,85.00,5000,0 
257,116i¤é²±¾ðªL,85.20,1000,0,,258,116i¤é²±¾ðªL,85.40,0,1000 
259,116i¤é²±¾ðªL,85.50,0,2000,,260,116j¤é²±ÀY¥÷,84.00,4000,0 
