¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="1229"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
1,1020¦X¡@¡@®w,41.55,1000,0,,2,1020¦X¡@¡@®w,41.70,1000,0 
3,1021¦X®w¥x¤¤,41.65,0,1000,,4,1021¦X®w¥x¤¤,41.70,1000,0 
5,1021¦X®w¥x¤¤,41.80,5000,0,,6,1022¦X®w¥x«n,41.80,4000,0 
7,1023¦X®w°ª¶¯,41.60,1000,0,,8,1023¦X®w°ª¶¯,41.70,1000,0 
9,1023¦X®w°ª¶¯,41.75,2000,0,,10,1025¦X®w°ò¶©,41.80,1000,0 
11,102F¦X®w¦è¥x,41.70,1000,0,,12,102G¦X®w¤T­«,41.85,5000,0 
13,1032¤g»È¥x«n,41.55,1000,0,,14,1035¤g»È·s¦Ë,41.85,0,10000 
15,103A¤g»È«Ø°ê,41.60,1000,0,,16,103A¤g»È«Ø°ê,41.80,0,5000 
17,103B¤g»È¹ü¤Æ,41.60,2000,0,,18,1040»O    »È,41.70,13000,0 
19,1040»O    »È,41.75,3000,0,,20,1040»O    »È,41.80,2000,0 
21,1041»O»È»ñ¤s,41.70,1000,2000,,22,1041»O»È»ñ¤s,41.80,0,28 
23,1042»O»È»O«n,41.60,1000,0,,24,1042»O»È»O«n,41.70,3000,0 
25,1042»O»È»O«n,41.75,0,20000,,26,1043»O»È¥ÁÅv,41.70,1000,0 
27,1045»O»È·s¦Ë,41.60,3000,0,,28,1045»O»È·s¦Ë,41.70,1000,2000 
29,1045»O»È·s¦Ë,41.80,0,1000,,30,104A»O»È»O¤¤,41.60,1000,0 
31,104A»O»È»O¤¤,41.65,1000,1000,,32,104A»O»È»O¤¤,41.70,1000,0 
33,104A»O»È»O¤¤,41.75,3000,16000,,34,104A»O»È»O¤¤,41.80,7000,0 
35,104C»O»È°ª¶¯,41.55,1000,0,,36,104C»O»È°ª¶¯,41.60,1000,8000 
37,104C»O»È°ª¶¯,41.70,1000,0,,38,104C»O»È°ª¶¯,41.75,3000,0 
39,104C»O»È°ª¶¯,41.85,2000,0,,40,104D»O»Èª÷¤s,41.60,1000,0 
41,104D»O»Èª÷¤s,41.65,1000,0,,42,104D»O»Èª÷¤s,41.75,2000,0 
43,104D»O»Èª÷¤s,41.80,1000,0,,44,1114¥ø»È¹Å¸q,41.70,5000,0 
45,1114¥ø»È¹Å¸q,41.75,5000,0,,46,1115¥ø»È¤Ó¥­,41.65,0,20000 
47,1115¥ø»È¤Ó¥­,41.70,0,13000,,48,1115¥ø»È¤Ó¥­,41.75,0,39000 
49,1115¥ø»È¤Ó¥­,41.80,0,25000,,50,1115¥ø»È¤Ó¥­,41.85,0,18000 
51,1117¥ø»È¦Ë¥_,41.60,1000,0,,52,1118¥ø»ÈÂ×­ì,41.75,0,1000 
53,1160¤é    ²±,41.75,2000,0,,54,1160¤é    ²±,41.80,2000,0 
55,1161¤é²±©¾§µ,41.70,1000,0,,56,1164¤é²±¤º´ò,41.80,40,0 
57,1165¤é²±ªO¾ô,41.70,1000,0,,58,1167¤é²±¹Å¸q,41.75,1000,0 
59,1168¤é²±°ª¶¯,41.70,2000,0,,60,1168¤é²±°ª¶¯,41.75,1000,0 
61,1168¤é²±°ª¶¯,41.80,4000,0,,62,1169¤é²±¤hªL,41.70,2000,0 
63,1169¤é²±¤hªL,41.80,10000,0,,64,116B¤é²±¤¤Ãc,41.60,1000,0 
65,116B¤é²±¤¤Ãc,41.75,0,3000,,66,116C¤é²±¤K¼w,41.85,0,1000 
67,116g¤é²±Às¼æ,41.65,1000,0,,68,116g¤é²±Às¼æ,41.75,2000,0 
69,116G¤é²±´º¬ü,41.80,6000,0,,70,116H¤é²±·s¦Ë,41.60,1000,0 
71,116i¤é²±¾ðªL,41.60,3000,0,,72,116i¤é²±¾ðªL,41.65,1000,0 
73,116i¤é²±¾ðªL,41.75,20000,14000,,74,116i¤é²±¾ðªL,41.80,2000,0 
75,116J¤é²±¤¤¤s,41.80,0,2000,,76,116J¤é²±¤¤¤s,41.85,1000,0 
77,116K¤é²±ªá½¬,41.60,10000,0,,78,116K¤é²±ªá½¬,41.65,15000,0 
79,116K¤é²±ªá½¬,41.75,1000,0,,80,116L¤é²±¤j¼[,41.65,1000,0 
81,116L¤é²±¤j¼[,41.70,1000,0,,82,116L¤é²±¤j¼[,41.75,1000,3000 
83,116m¤é²±©M¬ü,41.80,0,250,,84,116M¤é²±«ÌªF,41.65,2000,0 
85,116M¤é²±«ÌªF,41.80,0,15815,,86,116N¤é²±¥Ã±d,41.70,2000,0 
87,116N¤é²±¥Ã±d,41.80,1000,0,,88,116P¤é²±«H¸q,41.55,1000,0 
89,116P¤é²±«H¸q,41.60,1000,0,,90,116P¤é²±«H¸q,41.65,2000,0 
91,116P¤é²±«H¸q,41.70,2000,0,,92,116r¤é²±¤å¤Æ,41.60,1000,0 
93,116U¤é²±®ç¶é,41.80,0,2000,,94,116V¤é²±¤æ¤»,41.75,0,1000 
95,116X¤é²±©yÄõ,41.70,1000,1000,,96,1232¹ü»È¤C½å,41.80,200,0 
97,1260§»    »·,41.65,10000,0,,98,1261§»»·¥Á¥Í,41.65,1000,0 
99,126D§»»·¥x«n,41.70,1000,0,,100,126H§»»·¤¤©M,41.55,1000,0 
101,126U§»»·À]«e,41.65,1000,0,,102,126X§»»··s¤Æ,41.90,10000,0 
103,1440¬üªL,41.55,0,6000,,104,1440¬üªL,41.60,8000,16000 
105,1440¬üªL,41.65,2000,18000,,106,1440¬üªL,41.70,12000,59000 
107,1440¬üªL,41.75,33000,114000,,108,1440¬üªL,41.80,19000,15000 
109,1440¬üªL,41.85,19000,36000,,110,1440¬üªL,41.90,1000,0 
111,1470¥xÆW¼¯®Ú,41.55,0,2000,,112,1470¥xÆW¼¯®Ú,41.60,0,6000 
113,1470¥xÆW¼¯®Ú,41.65,7000,65000,,114,1470¥xÆW¼¯®Ú,41.70,6000,0 
115,1470¥xÆW¼¯®Ú,41.75,6000,14000,,116,1470¥xÆW¼¯®Ú,41.80,0,3000 
117,1470¥xÆW¼¯®Ú,41.85,0,3000,,118,1470¥xÆW¼¯®Ú,41.90,0,1000 
