¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="1303"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
1,1021¦X®w¥x¤¤,62.30,1000,0,,2,1021¦X®w¥x¤¤,63.50,0,2000 
3,1022¦X®w¥x«n,62.60,5000,0,,4,1022¦X®w¥x«n,62.70,1000,0 
5,1022¦X®w¥x«n,63.50,0,1000,,6,1023¦X®w°ª¶¯,62.50,1000,0 
7,1023¦X®w°ª¶¯,62.70,1000,0,,8,1023¦X®w°ª¶¯,62.80,1000,0 
9,1024¦X®w¹Å¸q,62.60,100,0,,10,1025¦X®w°ò¶©,62.30,1000,0 
11,102C¦X®w¦Û±j,62.50,1000,0,,12,102C¦X®w¦Û±j,63.00,1000,0 
13,102C¦X®w¦Û±j,63.30,1000,0,,14,102C¦X®w¦Û±j,63.50,0,1000 
15,102F¦X®w¦è¥x,63.00,0,1000,,16,1031¤g»È¥x¤¤,62.70,0,1000 
17,1034¤g»È¹Å¸q,62.60,4000,0,,18,1035¤g»È·s¦Ë,62.60,1000,0 
19,1037¤g»Èªá½¬,62.20,1000,0,,20,1037¤g»Èªá½¬,62.80,1000,0 
21,1037¤g»Èªá½¬,63.00,1000,0,,22,103B¤g»È¹ü¤Æ,62.60,900,0 
23,103C¤g»È¥Õªe,63.40,0,1000,,24,1040»O    »È,62.30,5000,0 
25,1040»O    »È,62.40,1000,0,,26,1040»O    »È,62.50,0,1000 
27,1040»O    »È,62.60,16000,500,,28,1040»O    »È,62.70,37000,0 
29,1040»O    »È,62.80,35000,1000,,30,1040»O    »È,62.90,8000,0 
31,1040»O    »È,63.00,12000,0,,32,1040»O    »È,63.10,99000,0 
33,1040»O    »È,63.40,1000,0,,34,1040»O    »È,63.60,0,2000 
35,1040»O    »È,63.70,0,1000,,36,1041»O»È»ñ¤s,62.20,1000,0 
37,1041»O»È»ñ¤s,62.60,1000,991,,38,1041»O»È»ñ¤s,63.30,0,4000 
39,1041»O»È»ñ¤s,63.50,0,1000,,40,1042»O»È»O«n,62.40,0,5000 
41,1042»O»È»O«n,62.50,0,5000,,42,1042»O»È»O«n,62.80,3000,0 
43,1042»O»È»O«n,63.00,6000,2000,,44,1042»O»È»O«n,63.20,1000,0 
45,1042»O»È»O«n,63.30,7000,0,,46,1042»O»È»O«n,63.70,7000,0 
47,1043»O»È¥ÁÅv,62.50,2000,0,,48,1043»O»È¥ÁÅv,62.60,1000,0 
49,1043»O»È¥ÁÅv,62.80,0,1000,,50,1043»O»È¥ÁÅv,63.00,0,1000 
51,1045»O»È·s¦Ë,62.80,1000,0,,52,1045»O»È·s¦Ë,63.60,1000,0 
53,104A»O»È»O¤¤,62.30,2000,0,,54,104A»O»È»O¤¤,62.50,1000,0 
55,104A»O»È»O¤¤,62.70,1000,0,,56,104A»O»È»O¤¤,62.90,1000,0 
57,104C»O»È°ª¶¯,62.40,1000,0,,58,104C»O»È°ª¶¯,62.50,1000,0 
59,104C»O»È°ª¶¯,62.60,1260,0,,60,104C»O»È°ª¶¯,63.10,2000,0 
61,104D»O»Èª÷¤s,62.50,10000,0,,62,104D»O»Èª÷¤s,62.60,1000,0 
63,104D»O»Èª÷¤s,63.00,1000,0,,64,104D»O»Èª÷¤s,63.10,2000,0 
65,1114¥ø»È¹Å¸q,62.30,5000,0,,66,1115¥ø»È¤Ó¥­,62.30,0,1000 
67,1116¥ø»È«ÌªF,62.30,1000,0,,68,1117¥ø»È¦Ë¥_,63.60,2000,0 
69,111A¥ø»È¥Á¶¯,62.50,1000,0,,70,111F¥ø»È¥_°ª,63.00,0,1000 
71,1160¤é    ²±,62.50,1000,0,,72,1160¤é    ²±,62.70,1000,0 
