¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="1321"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
1,102F¦X®w¦è¥x,31.15,0,2000,,2,102F¦X®w¦è¥x,31.25,0,1000 
3,1164¤é²±¤º´ò,31.20,1000,0,,4,116f¤é²±´_¿³,31.05,1000,0 
5,116f¤é²±´_¿³,31.10,1000,0,,6,116Z¤é²±¤¤©M,30.85,0,1000 
7,1440¬üªL,30.90,0,5000,,8,1440¬üªL,30.95,0,4000 
9,1440¬üªL,31.20,4000,0,,10,1520·ç¤h«H¶U,31.20,3000,0 
11,2181¨ÈªFªO¾ô,31.15,1000,0,,12,2184¨ÈªF·s¦Ë,31.05,3000,0 
13,2187¨ÈªF¥x¤¤,30.85,0,1000,,14,2187¨ÈªF¥x¤¤,30.90,0,1000 
15,526K¤j¼y´I¶¶,30.80,6000,0,,16,526K¤j¼y´I¶¶,30.90,6000,0 
17,526K¤j¼y´I¶¶,30.95,6000,0,,18,526K¤j¼y´I¶¶,31.00,10000,0 
19,5320°ª    ¾ô,30.95,1000,0,,20,5382²Ä¤@¥x¤¤,31.05,0,5000 
21,5384²Ä¤@¥x«n,30.85,1000,0,,22,538I²Ä¤@ÀY¥÷,30.90,1000,0 
23,538I²Ä¤@ÀY¥÷,31.10,1000,0,,24,538I²Ä¤@ÀY¥÷,31.20,1000,0 
25,5851²Î¤@°ª¶¯,30.80,1000,0,,26,5851²Î¤@°ª¶¯,30.95,1000,0 
27,5854²Î¤@«°¤¤,30.95,2000,9000,,28,5854²Î¤@«°¤¤,31.00,0,10000 
29,5854²Î¤@«°¤¤,31.10,0,5000,,30,5854²Î¤@«°¤¤,31.15,0,4000 
31,5854²Î¤@«°¤¤,31.20,0,1000,,32,5854²Î¤@«°¤¤,31.25,0,2000 
33,5854²Î¤@«°¤¤,31.30,0,1000,,34,5920¤¸    ´I,30.95,0,9000 
35,5920¤¸    ´I,31.10,0,3000,,36,5922¤¸´I·s©±,31.10,2000,0 
37,5922¤¸´I·s©±,31.15,1000,0,,38,5922¤¸´I·s©±,31.20,1000,0 
39,5922¤¸´I·s©±,31.25,1000,0,,40,5922¤¸´I·s©±,31.30,1000,0 
41,592a¤¸´IªQ¼w,30.90,3000,0,,42,592a¤¸´IªQ¼w,31.00,11000,0 
43,592a¤¸´IªQ¼w,31.10,2000,0,,44,592a¤¸´IªQ¼w,31.25,5000,0 
45,592a¤¸´IªQ¼w,31.30,1000,0,,46,592i¤¸´I¤¤´ä,31.05,160,0 
47,592r¤¸´I«°ªF,30.95,0,2000,,48,592V¤¸´I¥ÁÅv,30.85,5000,0 
49,6012¡¹¨Èºô¸ô,31.05,0,362,,50,601d™W¨ÈøÊÂ×,30.80,1000,0 
51,601d™W¨ÈøÊÂ×,30.90,1000,0,,52,601d™W¨ÈøÊÂ×,30.95,4000,0 
53,601d™W¨ÈøÊÂ×,31.30,0,1000,,54,6110¥x¤¤»È,30.85,1000,0 
55,6110¥x¤¤»È,31.00,1000,0,,56,638A¥ú©M¹Å¸q,30.95,4000,0 
57,638A¥ú©M¹Å¸q,31.10,2000,0,,58,6460¤j    ©÷,30.85,3000,0 
59,6460¤j    ©÷,30.95,3000,0,,60,6460¤j    ©÷,31.10,5000,0 
61,7009¥üÂ×´º¬ü,30.85,0,8000,,62,7009¥üÂ×´º¬ü,30.90,0,1000 
63,7795°ê²¼«n´ä,30.95,5000,0,,64,779P°ê²¼¤E¹©,30.85,0,1000 
65,779u°ê²¼ªø«°,30.80,11000,0,,66,779u°ê²¼ªø«°,30.85,12000,0 
67,779u°ê²¼ªø«°,30.90,1000,0,,68,779u°ê²¼ªø«°,31.00,1000,0 
69,779u°ê²¼ªø«°,31.10,1000,0,,70,779u°ê²¼ªø«°,31.15,1000,0 
71,779v°ê²¼¥x¤¤,31.10,0,2000,,72,779v°ê²¼¥x¤¤,31.15,0,1000 
73,779X°ê²¼¤¤©M,31.05,0,160,,74,779Z°ê²¼¦w©M,31.00,0,10000 
75,8150¥x    ·s,31.05,362,0,,76,8157¥x·s¥ª·£,31.10,0,2000 
77,8380¦w    ®õ,31.00,1000,0,,78,8440¼¯®Ú¤j³q,30.85,0,12000 
79,8440¼¯®Ú¤j³q,30.90,0,5000,,80,8440¼¯®Ú¤j³q,31.00,0,4000 
81,8440¼¯®Ú¤j³q,31.15,5000,0,,82,8440¼¯®Ú¤j³q,31.25,2000,0 
83,8560·s    ¥ú,30.85,1000,0,,84,8560·s    ¥ú,31.25,0,1000 
85,8562·s¥ú°ª¶¯,30.95,0,2000,,86,8565·s¥ú®ç¶é,30.90,0,3000 
87,8849¥É¤s¥x¤j,30.85,1000,0,,88,8888°ê®õ´°«n,31.05,0,2000 
89,8888°ê®õ´°«n,31.25,2000,0,,90,888A°ê®õÀ]«e,30.80,0,9000 
91,9135¸s¯q¸g°ê,30.85,0,1000,,92,9138¸s¯q¤¤´ä,31.20,5000,0 
93,9188¸s¯q¤T¥Á,31.00,7000,0,,94,918B¸s¯qªO¾ô,30.85,2000,0 
95,918C¸s¯q¥j«F,30.80,0,10000,,96,918C¸s¯q¥j«F,30.95,0,5000 
97,918C¸s¯q¥j«F,31.00,0,5000,,98,918x¸s¯q©µ¥­,31.05,1000,0 
99,918x¸s¯q©µ¥­,31.10,1000,0,,100,9208³Í°ò®ç¶é,30.95,0,3000 
101,9211³Í°ò¥x«n,30.95,1000,0,,102,9227³Í°ò«°¤¤,30.95,1000,0 
103,9233³Í°òªø©°,30.95,1000,0,,104,9268³Í°ò¥x¥_,30.85,0,1000 
105,9268³Í°ò¥x¥_,30.90,0,2000,,106,9268³Í°ò¥x¥_,30.95,1000,0 
107,9268³Í°ò¥x¥_,31.00,1000,0,,108,9268³Í°ò¥x¥_,31.10,0,2000 
109,9268³Í°ò¥x¥_,31.25,1000,0,,110,9272³Í°ò¦Ë¬ì,31.00,0,6000 
111,9287³Í°ò¤º´ò,31.00,1000,0,,112,9287³Í°ò¤º´ò,31.20,1000,0 
113,9307µØ«n¤j¦w,30.90,2000,0,,114,9307µØ«n¤j¦w,31.05,2000,0 
115,9362µØ«n­]®ß,31.10,0,1000,,116,9623´I¨¹¥x¥_,30.95,0,1000 
117,9654´I¨¹¥Ã©M,31.00,0,2000,,118,9666´I¨¹«n¤Ù,31.00,1000,0 
119,9686´I¨¹©yÄõ,31.00,2000,0,,120,9814¤¸¤j¤j¯q,30.90,0,1000 
121,981q¤¸¤j¸UµØ,30.95,1000,0,,122,982B¤¸¤j³Õ·R,31.00,0,1000 
123,9831¤¸¤j¥|ºû,30.90,1000,0,,124,9831¤¸¤j¥|ºû,31.00,1000,0 
125,984H¤¸¤j´º¬ü,30.80,0,1000,,126,9867¤¸¤j¥_¦¨,30.95,5000,0 
127,9874¤¸¤jÂù©M,30.85,0,2000,,128,9874¤¸¤jÂù©M,31.00,2000,0 
129,9874¤¸¤jÂù©M,31.15,2000,0,,130,989B¤¸¤j¤¤´ä,31.00,5000,0 
131,989C¤¸¤jªO¾ô,30.80,1000,0,,132,989g¤¸¤j¹Å¸q,31.10,2000,0 
133,989g¤¸¤j¹Å¸q,31.15,2000,0,,134,989g¤¸¤j¹Å¸q,31.20,1000,0 
135,9A61¥ÃÂ×»ñ¤s,30.95,0,1000,,136,9A8F¥ÃÂ×´°«n,30.85,1000,0 
137,9A8F¥ÃÂ×´°«n,30.90,3000,0,,138,9A8F¥ÃÂ×´°«n,31.00,0,15000 
139,9A8F¥ÃÂ×´°«n,31.10,0,2000,,140,9A8F¥ÃÂ×´°«n,31.15,0,5000 
141,9A8F¥ÃÂ×´°«n,31.20,0,1000,,142,9A8F¥ÃÂ×´°«n,31.25,0,2000 
143,9A96¥ÃÂ×³Õ·R,31.00,5000,0,,144,9A9a¥ÃÂ×­d¶®,31.00,1000,0 
145,9A9S¥ÃÂ×«n¨Ê,31.00,3000,0,,146,9A9S¥ÃÂ×«n¨Ê,31.20,5000,0 
147,9A9Y¥ÃÂ×ªO²±,31.20,0,20000,,148,9A9Y¥ÃÂ×ªO²±,31.25,0,5000 
