¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="1217"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
1,1020¦X¡@¡@®w,7.03,1000,0,,2,1024¦X®w¹Å¸q,7.04,4000,0 
3,1024¦X®w¹Å¸q,7.05,6000,0,,4,1029¦X®w»ñ¤s,7.08,0,1000 
5,1029¦X®w»ñ¤s,7.09,8,1000,,6,102E¦X®w®ç¶é,7.03,1000,0 
7,102F¦X®w¦è¥x,7.09,500,0,,8,1040»O    »È,7.02,10000,0 
9,1041»O»È»ñ¤s,7.09,0,305,,10,1042»O»È»O«n,7.06,0,1000 
11,1042»O»È»O«n,7.07,0,1000,,12,1043»O»È¥ÁÅv,7.05,3000,0 
13,1043»O»È¥ÁÅv,7.09,0,30,,14,1045»O»È·s¦Ë,7.08,0,1000 
15,104A»O»È»O¤¤,7.02,1000,0,,16,104A»O»È»O¤¤,7.08,10000,0 
17,104D»O»Èª÷¤s,7.08,10000,0,,18,1111¥ø»È¥x¤¤,7.03,1000,0 
19,1111¥ø»È¥x¤¤,7.05,1000,0,,20,1113¥ø»È¤E¦p,7.02,0,1000 
21,1160¤é    ²±,7.04,1000,1000,,22,1160¤é    ²±,7.09,1000,0 
23,1163¤é²±¥x¤¤,7.09,0,15,,24,1166¤é²±Âù©M,7.03,0,1000 
25,1167¤é²±¹Å¸q,7.02,0,13000,,26,1167¤é²±¹Å¸q,7.03,0,81000 
27,1167¤é²±¹Å¸q,7.08,0,6000,,28,1168¤é²±°ª¶¯,7.05,5000,0 
29,116A¤é²±¤ì¬],7.03,1000,0,,30,116c¤é²±Â×­ì,7.09,0,1 
31,116C¤é²±¤K¼w,7.08,10000,0,,32,116e¤é²±¦Ë¥_,7.03,5000,0 
33,116i¤é²±¾ðªL,7.03,0,4000,,34,116k¤é²±¥_°ª,7.02,0,1000 
35,116K¤é²±ªá½¬,7.08,3000,0,,36,116L¤é²±¤j¼[,7.10,0,1000 
37,116m¤é²±©M¬ü,7.09,77,0,,38,116M¤é²±«ÌªF,7.06,1000,0 
39,116P¤é²±«H¸q,7.04,2000,0,,40,116P¤é²±«H¸q,7.06,1000,0 
41,116Q¤é²±¤GªL,7.03,1000,0,,42,116Q¤é²±¤GªL,7.05,2000,0 
43,116S¤é²±·s²ø,7.05,1000,0,,44,116V¤é²±¤æ¤»,7.04,1000,0 
45,116Z¤é²±¤¤©M,7.08,0,1000,,46,1440¬üªL,7.03,6000,0 
47,1440¬üªL,7.04,0,17000,,48,1440¬üªL,7.05,0,11000 
49,1440¬üªL,7.07,23000,7000,,50,1440¬üªL,7.08,0,5000 
51,1440¬üªL,7.09,12000,0,,52,1520·ç¤h«H¶U,7.03,0,2000 
53,1520·ç¤h«H¶U,7.04,7000,0,,54,1520·ç¤h«H¶U,7.05,12000,0 
55,1520·ç¤h«H¶U,7.06,10000,0,,56,1520·ç¤h«H¶U,7.07,29000,0 
57,1520·ç¤h«H¶U,7.08,46000,0,,58,1520·ç¤h«H¶U,7.09,1000,0 
59,1560´ä°Ó³¥§ø,7.08,1000,0,,60,1590ªáºXÀô²y,7.03,0,38000 
61,1590ªáºXÀô²y,7.04,0,6000,,62,1590ªáºXÀô²y,7.06,0,9000 
63,1590ªáºXÀô²y,7.09,0,35000,,64,2185¨ÈªF¥x«n,7.05,1000,0 
65,5058¤j®i¥x«n,7.05,2000,0,,66,5058¤j®i¥x«n,7.06,2000,0 
67,5058¤j®i¥x«n,7.07,2000,0,,68,5261¤j¼yÄª¬w,7.02,10000,0 
69,5261¤j¼yÄª¬w,7.03,30000,0,,70,5264¤j¼y°ª¶¯,7.09,2000,0 
71,5265¤j¼y­]®ß,7.04,1000,0,,72,5265¤j¼y­]®ß,7.05,1000,0 
73,5265¤j¼y­]®ß,7.06,1000,0,,74,5265¤j¼y­]®ß,7.07,1000,0 
75,526K¤j¼y´I¶¶,7.03,4000,1000,,76,5320°ª    ¾ô,7.03,2000,0 
77,5381²Ä¤@­ûªL,7.09,0,2000,,78,5386²Ä¤@¹ü¤Æ,7.02,0,2000 
