¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="1102"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
1,1020¦X¡@¡@®w,43.55,36000,0,,2,1020¦X¡@¡@®w,43.60,50000,0 
3,1020¦X¡@¡@®w,43.75,20000,0,,4,1020¦X¡@¡@®w,43.80,15000,0 
5,1021¦X®w¥x¤¤,43.55,1000,0,,6,1021¦X®w¥x¤¤,43.70,1000,0 
7,1023¦X®w°ª¶¯,43.45,0,2000,,8,1025¦X®w°ò¶©,43.30,1000,1000 
9,1025¦X®w°ò¶©,43.55,1000,0,,10,1025¦X®w°ò¶©,43.70,1000,0 
11,102C¦X®w¦Û±j,43.55,0,7000,,12,1031¤g»È¥x¤¤,43.35,1000,0 
13,1032¤g»È¥x«n,43.35,1000,0,,14,1032¤g»È¥x«n,43.75,0,1000 
15,1033¤g»È°ª¶¯,43.55,0,3000,,16,1033¤g»È°ª¶¯,43.60,1000,0 
17,1034¤g»È¹Å¸q,43.30,1000,0,,18,1034¤g»È¹Å¸q,43.50,3000,0 
19,1034¤g»È¹Å¸q,43.60,1000,0,,20,1035¤g»È·s¦Ë,43.30,2000,0 
21,1035¤g»È·s¦Ë,43.60,1000,0,,22,1037¤g»Èªá½¬,43.35,0,20000 
23,1038¤g»È©M¥­,43.30,10000,0,,24,1040»O    »È,43.25,1000,0 
25,1040»O    »È,43.35,26000,0,,26,1040»O    »È,43.50,4000,0 
27,1040»O    »È,43.55,1000,0,,28,1040»O    »È,43.60,0,5000 
29,1040»O    »È,43.70,1000,0,,30,1040»O    »È,43.75,10000,0 
31,1040»O    »È,43.80,10000,0,,32,1041»O»È»ñ¤s,43.55,1000,0 
33,1042»O»È»O«n,43.30,1000,0,,34,1042»O»È»O«n,43.45,0,1000 
35,1043»O»È¥ÁÅv,43.30,7000,0,,36,1043»O»È¥ÁÅv,43.50,2000,0 
37,1045»O»È·s¦Ë,43.25,0,8000,,38,1045»O»È·s¦Ë,43.30,1000,0 
39,1045»O»È·s¦Ë,43.35,1000,0,,40,1045»O»È·s¦Ë,43.40,3000,0 
41,1045»O»È·s¦Ë,43.50,1000,0,,42,1045»O»È·s¦Ë,43.75,6000,0 
43,104A»O»È»O¤¤,43.25,1000,0,,44,104A»O»È»O¤¤,43.35,1000,0 
45,104A»O»È»O¤¤,43.40,2000,0,,46,104A»O»È»O¤¤,43.45,1000,0 
47,104A»O»È»O¤¤,43.50,2000,0,,48,104A»O»È»O¤¤,43.65,1000,0 
49,104D»O»Èª÷¤s,43.30,2000,0,,50,1115¥ø»È¤Ó¥­,43.55,0,2000 
51,1116¥ø»È«ÌªF,43.55,2000,0,,52,1118¥ø»ÈÂ×­ì,43.45,1000,0 
53,111A¥ø»È¥Á¶¯,43.30,4000,0,,54,111A¥ø»È¥Á¶¯,43.35,0,2000 
55,1160¤é    ²±,43.30,0,2000,,56,1161¤é²±©¾§µ,43.30,0,1000 
57,1162¤é²±¥x«n,43.75,1000,0,,58,1162¤é²±¥x«n,43.80,1000,0 
59,1163¤é²±¥x¤¤,43.50,0,1000,,60,1163¤é²±¥x¤¤,43.55,1000,0 
61,1167¤é²±¹Å¸q,43.50,1000,0,,62,1168¤é²±°ª¶¯,43.25,0,6000 
63,116A¤é²±¤ì¬],43.40,3000,0,,64,116A¤é²±¤ì¬],43.55,2000,0 
65,116b¤é²±¶é°Ï,43.75,1000,0,,66,116B¤é²±¤¤Ãc,43.30,3000,0 
67,116B¤é²±¤¤Ãc,43.35,3000,0,,68,116B¤é²±¤¤Ãc,43.45,3000,0 
69,116B¤é²±¤¤Ãc,43.50,2000,0,,70,116B¤é²±¤¤Ãc,43.80,0,10000 
71,116C¤é²±¤K¼w,43.30,1000,0,,72,116C¤é²±¤K¼w,43.50,0,285 
73,116C¤é²±¤K¼w,43.60,2000,0,,74,116C¤é²±¤K¼w,43.75,0,1000 
75,116E¤é²±¤T­«,43.55,1000,0,,76,116F¤é²±­ûªL,43.45,1000,0 
77,116G¤é²±´º¬ü,43.70,20000,0,,78,116G¤é²±´º¬ü,43.75,1000,0 
79,116H¤é²±·s¦Ë,43.30,1000,0,,80,116i¤é²±¾ðªL,43.45,0,10000 
81,116K¤é²±ªá½¬,43.25,1000,0,,82,116P¤é²±«H¸q,43.50,2000,0 
83,116Q¤é²±¤GªL,43.30,0,1000,,84,116U¤é²±®ç¶é,43.55,1000,0 
85,116U¤é²±®ç¶é,43.70,1000,0,,86,116W¤é²±»ñ¤s,43.30,1000,0 
87,116W¤é²±»ñ¤s,43.40,2000,0,,88,116W¤é²±»ñ¤s,43.45,1000,0 
89,116W¤é²±»ñ¤s,43.50,1000,0,,90,116W¤é²±»ñ¤s,43.55,3000,0 
91,116W¤é²±»ñ¤s,43.60,1000,0,,92,116W¤é²±»ñ¤s,43.70,2000,0 
93,116Z¤é²±¤¤©M,43.55,1000,0,,94,1261§»»·¥Á¥Í,43.30,2000,0 
95,1261§»»·¥Á¥Í,43.80,2000,0,,96,126Q§»»·°ª¶¯,43.30,2000,0 
97,1360´ä³Á®æ²z,43.25,20000,83000,,98,1360´ä³Á®æ²z,43.30,0,8000 
99,1360´ä³Á®æ²z,43.35,0,18000,,100,1360´ä³Á®æ²z,43.40,0,2000 
101,1360´ä³Á®æ²z,43.45,0,7000,,102,1360´ä³Á®æ²z,43.50,100,6000 
103,1360´ä³Á®æ²z,43.55,35000,31000,,104,1360´ä³Á®æ²z,43.60,25000,34000 
105,1440¬üªL,43.25,39000,107000,,106,1440¬üªL,43.30,29000,75000 
107,1440¬üªL,43.35,76000,134000,,108,1440¬üªL,43.40,29000,112000 
109,1440¬üªL,43.45,6000,71000,,110,1440¬üªL,43.50,17000,183000 
111,1440¬üªL,43.55,59000,214000,,112,1440¬üªL,43.60,7000,382000 
113,1440¬üªL,43.65,0,66000,,114,1440¬üªL,43.70,0,50000 
115,1440¬üªL,43.75,37000,286000,,116,1440¬üªL,43.80,89000,136000 
117,1440¬üªL,43.85,2000,15000,,118,1470¥xÆW¼¯®Ú,43.25,25000,1000 
119,1470¥xÆW¼¯®Ú,43.30,2000,35000,,120,1470¥xÆW¼¯®Ú,43.35,0,12000 
121,1470¥xÆW¼¯®Ú,43.40,0,13000,,122,1470¥xÆW¼¯®Ú,43.45,0,6000 
123,1470¥xÆW¼¯®Ú,43.50,0,7000,,124,1470¥xÆW¼¯®Ú,43.55,33000,32000 
125,1470¥xÆW¼¯®Ú,43.60,0,42000,,126,1470¥xÆW¼¯®Ú,43.70,1000,0 
127,1470¥xÆW¼¯®Ú,43.75,9000,5000,,128,1470¥xÆW¼¯®Ú,43.80,4000,24000 
129,1480¬ü°Ó°ª²±,43.25,41000,62000,,130,1480¬ü°Ó°ª²±,43.30,0,59000 
131,1480¬ü°Ó°ª²±,43.35,0,117000,,132,1480¬ü°Ó°ª²±,43.40,0,14000 
133,1480¬ü°Ó°ª²±,43.45,0,86000,,134,1480¬ü°Ó°ª²±,43.50,907,95000 
135,1480¬ü°Ó°ª²±,43.55,0,187000,,136,1480¬ü°Ó°ª²±,43.60,0,52000 
137,1480¬ü°Ó°ª²±,43.70,0,22000,,138,1480¬ü°Ó°ª²±,43.75,0,82000 
139,1480¬ü°Ó°ª²±,43.80,10000,50000,,140,1480¬ü°Ó°ª²±,43.85,0,2000 
141,1520·ç¤h«H¶U,43.25,224000,4000,,142,1520·ç¤h«H¶U,43.30,0,2000 
143,1520·ç¤h«H¶U,43.35,89000,47000,,144,1520·ç¤h«H¶U,43.40,57000,55000 
145,1520·ç¤h«H¶U,43.45,8000,2000,,146,1520·ç¤h«H¶U,43.50,28000,4000 
147,1520·ç¤h«H¶U,43.55,1000,92000,,148,1520·ç¤h«H¶U,43.60,0,6000 
149,1520·ç¤h«H¶U,43.70,0,137000,,150,1520·ç¤h«H¶U,43.75,16000,3000 
151,1520·ç¤h«H¶U,43.80,19000,6000,,152,1520·ç¤h«H¶U,43.85,21000,0 
153,1560´ä°Ó³¥§ø,43.30,17000,0,,154,1560´ä°Ó³¥§ø,43.35,102000,0 
155,1560´ä°Ó³¥§ø,43.40,8000,0,,156,1560´ä°Ó³¥§ø,43.45,70000,0 
157,1560´ä°Ó³¥§ø,43.50,28000,0,,158,1560´ä°Ó³¥§ø,43.55,109000,0 
159,1560´ä°Ó³¥§ø,43.60,206000,0,,160,1560´ä°Ó³¥§ø,43.70,60000,0 
161,1560´ä°Ó³¥§ø,43.75,0,19000,,162,1570´ä°Óªk¿³,43.25,0,9000 
163,1570´ä°Óªk¿³,43.30,0,20000,,164,1570´ä°Óªk¿³,43.35,0,57000 
165,1570´ä°Óªk¿³,43.45,0,46000,,166,1570´ä°Óªk¿³,43.50,0,12000 
167,1570´ä°Óªk¿³,43.55,0,72000,,168,1570´ä°Óªk¿³,43.60,0,55000 
169,1570´ä°Óªk¿³,43.75,0,21000,,170,1650·ç»È,43.25,1000,37000 
171,1650·ç»È,43.30,0,20000,,172,1650·ç»È,43.35,1000,44000 
173,1650·ç»È,43.40,0,15000,,174,1650·ç»È,43.45,2000,33000 
175,1650·ç»È,43.50,0,25000,,176,1650·ç»È,43.55,2000,100000 
177,1650·ç»È,43.60,0,25000,,178,1650·ç»È,43.70,0,17000 
179,1650·ç»È,43.75,3000,77000,,180,1650·ç»È,43.80,1000,88000 
181,1650·ç»È,43.85,0,2000,,182,2180¨È    ªF,43.50,1000,0 
183,2180¨È    ªF,43.55,41000,0,,184,2180¨È    ªF,43.75,20000,0 
185,2184¨ÈªF·s¦Ë,43.60,1000,0,,186,2187¨ÈªF¥x¤¤,43.25,0,1000 
187,2187¨ÈªF¥x¤¤,43.50,1000,0,,188,5260¤j    ¼y,43.35,22000,0 
189,5260¤j    ¼y,43.40,7000,0,,190,5260¤j    ¼y,43.45,16000,0 
191,5260¤j    ¼y,43.50,15000,0,,192,5260¤j    ¼y,43.55,56000,0 
193,5260¤j    ¼y,43.60,4000,0,,194,5260¤j    ¼y,43.65,5000,0 
195,5260¤j    ¼y,43.70,2000,0,,196,5260¤j    ¼y,43.75,12000,0 
197,5260¤j    ¼y,43.80,13000,0,,198,5261¤j¼yÄª¬w,43.25,5000,0 
199,5261¤j¼yÄª¬w,43.30,1000,0,,200,5261¤j¼yÄª¬w,43.35,10000,0 
201,5261¤j¼yÄª¬w,43.75,2000,0,,202,5261¤j¼yÄª¬w,43.80,3000,0 
203,5266¤j¼y¤¤Ãc,43.40,0,1000,,204,5266¤j¼y¤¤Ãc,43.45,1000,0 
205,5266¤j¼y¤¤Ãc,43.80,0,1000,,206,526L¤j¼yªøºa,43.30,1000,0 
207,5320°ª    ¾ô,43.30,0,3000,,208,5323°ª¾ô¤ºÃc,43.25,1000,0 
209,5323°ª¾ô¤ºÃc,43.30,2000,0,,210,5323°ª¾ô¤ºÃc,43.45,1000,0 
211,5323°ª¾ô¤ºÃc,43.55,1000,0,,212,5323°ª¾ô¤ºÃc,43.70,1000,0 
213,5380²Ä¤@ª÷ÃÒ,43.50,10415,0,,214,5383²Ä¤@°ª¶¯,43.25,0,11000 
215,5383²Ä¤@°ª¶¯,43.35,10000,0,,216,5383²Ä¤@°ª¶¯,43.45,3000,0 
217,5383²Ä¤@°ª¶¯,43.50,2000,0,,218,5383²Ä¤@°ª¶¯,43.75,1000,0 
219,5383²Ä¤@°ª¶¯,43.80,5000,0,,220,5385²Ä¤@®ç¶é,43.45,3000,0 
221,5385²Ä¤@®ç¶é,43.50,1000,0,,222,5385²Ä¤@®ç¶é,43.55,1000,0 
223,5386²Ä¤@¹ü¤Æ,43.25,0,10000,,224,5386²Ä¤@¹ü¤Æ,43.30,5000,0 
225,5386²Ä¤@¹ü¤Æ,43.35,5000,0,,226,5387²Ä¤@¼ê´ò,43.60,0,5000 
227,5389²Ä¤@¤¤¤s,43.25,100000,0,,228,5389²Ä¤@¤¤¤s,43.30,3000,0 
229,5389²Ä¤@¤¤¤s,43.50,110000,0,,230,5389²Ä¤@¤¤¤s,43.60,90000,0 
231,538A²Ä¤@·s¿³,43.30,1000,0,,232,538C²Ä¤@¥ú´_,43.75,5000,0 
233,538D²Ä¤@©¾§µ,43.35,2000,0,,234,538D²Ä¤@©¾§µ,43.50,4000,0 
235,538P²Ä¤@¸ô¦Ë,43.70,1000,0,,236,538W²Ä¤@µØ¦¿,43.50,0,1000 
237,538W²Ä¤@µØ¦¿,43.55,6000,0,,238,538W²Ä¤@µØ¦¿,43.70,4000,0 
239,538W²Ä¤@µØ¦¿,43.75,6000,1000,,240,538W²Ä¤@µØ¦¿,43.80,1000,0 
241,5600¥Ã    ¿³,43.50,200,0,,242,5602¥Ã¿³¤ôÙõ,43.35,2000,0 
243,5660¤é    ¶i,43.55,0,3000,,244,5854²Î¤@«°¤¤,43.25,0,1000 
245,5854²Î¤@«°¤¤,43.50,2000,0,,246,5855²Î¤@¥x«n,43.35,0,3000 
247,5855²Î¤@¥x«n,43.55,1000,0,,248,5856²Î¤@¥x¤¤,43.50,1000,0 
249,5857²Î¤@·s¦Ë,43.55,2000,0,,250,5858²Î¤@¹Å¸q,43.55,1000,0 
251,585F²Î¤@¹ü¤Æ,43.40,1000,0,,252,585F²Î¤@¹ü¤Æ,43.55,2000,0 
253,585H²Î¤@®ç¶é,43.40,1000,0,,254,585I²Î¤@­ûªL,43.35,1000,0 
255,585I²Î¤@­ûªL,43.55,0,2000,,256,585P²Î¤@ªO¾ô,43.25,11000,0 
257,585P²Î¤@ªO¾ô,43.30,6000,0,,258,585P²Î¤@ªO¾ô,43.35,5000,0 
259,585P²Î¤@ªO¾ô,43.40,9000,0,,260,585P²Î¤@ªO¾ô,43.45,35000,0 
261,585P²Î¤@ªO¾ô,43.50,6000,0,,262,585P²Î¤@ªO¾ô,43.60,6000,0 
263,585Q²Î¤@¤T¦h,43.60,1000,0,,264,585W²Î¤@ª÷ªù,43.40,2000,0 
265,585Y²Î¤@¤g«°,43.35,1000,0,,266,585Y²Î¤@¤g«°,43.55,0,1000 
267,585Y²Î¤@¤g«°,43.70,1000,0,,268,585Y²Î¤@¤g«°,43.75,1000,0 
269,5870¥ú    ¶©,43.50,0,92,,270,5870¥ú    ¶©,43.75,1000,0 
271,5920¤¸    ´I,43.30,5000,1000,,272,5920¤¸    ´I,43.35,52000,0 
273,5920¤¸    ´I,43.40,3000,0,,274,5920¤¸    ´I,43.45,38000,0 
275,5920¤¸    ´I,43.50,15000,0,,276,5920¤¸    ´I,43.55,299000,0 
277,5920¤¸    ´I,43.60,17000,0,,278,5920¤¸    ´I,43.65,6000,0 
279,5920¤¸    ´I,43.70,17000,17000,,280,5920¤¸    ´I,43.75,32000,12000 
281,5920¤¸    ´I,43.80,16000,17000,,282,5923¤¸´I¤T­«,43.30,0,16000 
283,5925¤¸´I¥x¤¤,43.40,1000,0,,284,5925¤¸´I¥x¤¤,43.70,1000,0 
285,5927¤¸´IªL¶é,43.50,1000,0,,286,5927¤¸´IªL¶é,43.55,5000,0 
287,5929¤¸´I¥x«n,43.35,1000,0,,288,5929¤¸´I¥x«n,43.55,1000,0 
289,592A¤¸´I½n«°,43.30,1000,0,,290,592b¤¸´IªO¾ô,43.55,6000,0 
291,592c¤¸´I¯Q¤é,43.75,0,5000,,292,592D¤¸´I¤j©÷,43.25,1000,0 
293,592e¤¸´I¥j«F,43.30,2000,0,,294,592H¤¸´I«H¸q,43.35,39000,0 
295,592H¤¸´I«H¸q,43.40,2000,0,,296,592H¤¸´I«H¸q,43.45,24000,0 
297,592H¤¸´I«H¸q,43.50,14000,0,,298,592H¤¸´I«H¸q,43.55,16000,0 
299,592H¤¸´I«H¸q,43.60,2000,0,,300,592I¤¸´I¹Å¸q,43.45,1000,0 
301,592l¤¸´I¤j¸Î,43.25,5000,0,,302,592l¤¸´I¤j¸Î,43.35,5000,0 
303,592L¤¸´I¤¤Ãc,43.50,2000,0,,304,592L¤¸´I¤¤Ãc,43.70,1000,0 
305,592n¤¸´I¦èªQ,43.45,3000,0,,306,592n¤¸´I¦èªQ,43.55,1000,0 
307,592n¤¸´I¦èªQ,43.60,6000,0,,308,592N¤¸´Iªê§À,43.55,3000,0 
309,592P¤¸´I¦P¤j,43.35,0,3000,,310,592q¤¸´I«ÌªF,43.75,0,1000 
311,592Q¤¸´I´°«n,43.30,0,1000,,312,592r¤¸´I«°ªF,43.50,1050,0 
313,592u¤¸´I¥@¶T,43.25,1000,0,,314,592u¤¸´I¥@¶T,43.40,1000,0 
315,592u¤¸´I¥@¶T,43.50,1000,7000,,316,592u¤¸´I¥@¶T,43.55,1000,0 
317,592u¤¸´I¥@¶T,43.70,2000,0,,318,592U¤¸´I©yÄõ,43.25,2000,0 
