¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="1309"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
1,1021¦X®w¥x¤¤,12.95,0,1000,,2,1021¦X®w¥x¤¤,13.15,1000,0 
3,1021¦X®w¥x¤¤,13.20,2000,0,,4,1022¦X®w¥x«n,12.85,0,2000 
5,1022¦X®w¥x«n,13.40,0,2000,,6,1023¦X®w°ª¶¯,12.65,0,1000 
7,1023¦X®w°ª¶¯,12.85,0,4000,,8,1025¦X®w°ò¶©,13.20,0,1000 
9,1028¦X®w¹ü¤Æ,12.65,5000,0,,10,1028¦X®w¹ü¤Æ,13.20,0,1000 
11,1028¦X®w¹ü¤Æ,13.40,0,1000,,12,1029¦X®w»ñ¤s,13.10,0,47000 
13,102A¦X®w·s¦Ë,12.90,5000,0,,14,102C¦X®w¦Û±j,12.90,0,5000 
15,102C¦X®w¦Û±j,13.15,2000,0,,16,102C¦X®w¦Û±j,13.30,1,0 
17,102C¦X®w¦Û±j,13.40,0,2000,,18,102E¦X®w®ç¶é,12.85,1000,0 
19,102F¦X®w¦è¥x,12.95,0,10000,,20,102F¦X®w¦è¥x,13.15,1000,0 
21,102F¦X®w¦è¥x,13.20,0,1000,,22,102G¦X®w¤T­«,12.65,1000,0 
23,102G¦X®w¤T­«,12.80,1000,0,,24,1030¤g¡@¡@»È,12.65,0,20000 
25,1030¤g¡@¡@»È,12.70,0,10000,,26,1030¤g¡@¡@»È,12.80,0,10000 
27,1030¤g¡@¡@»È,12.90,0,10000,,28,1030¤g¡@¡@»È,13.05,0,1000 
29,1030¤g¡@¡@»È,13.25,0,10000,,30,1031¤g»È¥x¤¤,12.80,0,12000 
31,1031¤g»È¥x¤¤,12.85,0,50000,,32,1031¤g»È¥x¤¤,13.05,0,1000 
33,1031¤g»È¥x¤¤,13.15,1000,0,,34,1033¤g»È°ª¶¯,13.10,0,5000 
35,1035¤g»È·s¦Ë,12.60,0,2000,,36,1035¤g»È·s¦Ë,12.80,0,2000 
37,1035¤g»È·s¦Ë,12.85,0,4000,,38,1035¤g»È·s¦Ë,12.90,0,3000 
39,1035¤g»È·s¦Ë,13.05,0,4000,,40,1035¤g»È·s¦Ë,13.20,0,13000 
41,1035¤g»È·s¦Ë,13.40,0,1000,,42,1036¤g»È¥É¨½,13.00,0,2000 
43,1036¤g»È¥É¨½,13.15,0,1000,,44,1036¤g»È¥É¨½,13.30,0,206 
45,1036¤g»È¥É¨½,13.40,0,1000,,46,103A¤g»È«Ø°ê,13.00,0,5000 
47,103C¤g»È¥Õªe,12.65,3000,3000,,48,1040»O    »È,12.90,0,20000 
49,1040»O    »È,13.00,0,1000,,50,1041»O»È»ñ¤s,12.70,0,4000 
51,1041»O»È»ñ¤s,12.80,0,1000,,52,1041»O»È»ñ¤s,12.95,0,15000 
53,1041»O»È»ñ¤s,13.10,2000,0,,54,1042»O»È»O«n,12.80,0,1000 
55,1042»O»È»O«n,12.85,0,8000,,56,1042»O»È»O«n,12.90,0,3000 
57,1042»O»È»O«n,13.10,0,38000,,58,1043»O»È¥ÁÅv,12.85,0,2000 
59,1043»O»È¥ÁÅv,12.90,2000,0,,60,1043»O»È¥ÁÅv,13.20,0,2000 
61,1045»O»È·s¦Ë,13.30,0,100,,62,104A»O»È»O¤¤,12.70,1000,0 
63,104A»O»È»O¤¤,12.75,0,6000,,64,104A»O»È»O¤¤,12.80,0,1000 
65,104A»O»È»O¤¤,12.85,0,2000,,66,104A»O»È»O¤¤,12.90,5000,0 
67,104A»O»È»O¤¤,13.00,0,2000,,68,104A»O»È»O¤¤,13.05,0,1000 
69,104A»O»È»O¤¤,13.10,5000,0,,70,104A»O»È»O¤¤,13.15,0,1000 
71,104A»O»È»O¤¤,13.20,1000,0,,72,104A»O»È»O¤¤,13.40,2000,1000 
73,104C»O»È°ª¶¯,12.75,0,2000,,74,104C»O»È°ª¶¯,12.85,2000,0 
75,104C»O»È°ª¶¯,13.10,10000,0,,76,104C»O»È°ª¶¯,13.15,0,7000 
77,104C»O»È°ª¶¯,13.20,0,3000,,78,104C»O»È°ª¶¯,13.30,1500,0 
79,104C»O»È°ª¶¯,13.40,0,1000,,80,104D»O»Èª÷¤s,12.75,6000,0 
81,104D»O»Èª÷¤s,13.10,6000,0,,82,1110¥ø    »È,12.75,20000,0 
83,1111¥ø»È¥x¤¤,13.40,0,1000,,84,1115¥ø»È¤Ó¥­,12.75,3000,0 
85,1115¥ø»È¤Ó¥­,12.85,0,3000,,86,1115¥ø»È¤Ó¥­,13.10,0,10000 
87,1116¥ø»È«ÌªF,12.90,0,2000,,88,1116¥ø»È«ÌªF,13.00,0,2000 
89,1116¥ø»È«ÌªF,13.10,0,2000,,90,1117¥ø»È¦Ë¥_,12.85,0,1000 
91,111A¥ø»È¥Á¶¯,13.05,1000,0,,92,111E¥ø»È®ç¶é,12.65,0,75000 
93,111G¥ø»È®HáY,13.10,0,1000,,94,1160¤é    ²±,13.20,0,1000 
95,1160¤é    ²±,13.40,0,6000,,96,1161¤é²±©¾§µ,12.70,0,3000 
97,1161¤é²±©¾§µ,12.80,0,15000,,98,1161¤é²±©¾§µ,13.15,2000,0 
99,1161¤é²±©¾§µ,13.20,0,1000,,100,1161¤é²±©¾§µ,13.40,0,1000 
101,1162¤é²±¥x«n,12.70,0,1000,,102,1162¤é²±¥x«n,13.15,6000,0 
103,1162¤é²±¥x«n,13.20,3000,0,,104,1163¤é²±¥x¤¤,12.85,0,10000 
105,1163¤é²±¥x¤¤,13.00,10000,0,,106,1163¤é²±¥x¤¤,13.10,2000,1000 
107,1163¤é²±¥x¤¤,13.15,47000,0,,108,1163¤é²±¥x¤¤,13.20,0,2000 
109,1163¤é²±¥x¤¤,13.40,0,47000,,110,1164¤é²±¤º´ò,13.40,0,10000 
111,1165¤é²±ªO¾ô,12.80,0,61000,,112,1165¤é²±ªO¾ô,12.90,0,2000 
113,1165¤é²±ªO¾ô,13.05,0,2000,,114,1165¤é²±ªO¾ô,13.10,1000,3000 
115,1165¤é²±ªO¾ô,13.15,3000,0,,116,1165¤é²±ªO¾ô,13.20,1000,3000 
117,1165¤é²±ªO¾ô,13.30,0,40,,118,1166¤é²±Âù©M,12.60,2000,0 
119,1166¤é²±Âù©M,12.65,0,1000,,120,1166¤é²±Âù©M,12.70,0,1000 
121,1166¤é²±Âù©M,12.75,0,2000,,122,1166¤é²±Âù©M,12.80,0,1000 
123,1166¤é²±Âù©M,12.90,0,12000,,124,1166¤é²±Âù©M,12.95,0,10000 
125,1166¤é²±Âù©M,13.00,0,3000,,126,1166¤é²±Âù©M,13.10,2000,2000 
127,1166¤é²±Âù©M,13.20,0,13000,,128,1166¤é²±Âù©M,13.40,1000,2000 
129,1168¤é²±°ª¶¯,13.05,5000,0,,130,1168¤é²±°ª¶¯,13.10,5000,0 
131,1169¤é²±¤hªL,12.70,0,5000,,132,116A¤é²±¤ì¬],12.65,6000,0 
133,116A¤é²±¤ì¬],12.85,0,2000,,134,116A¤é²±¤ì¬],12.90,4000,0 
135,116A¤é²±¤ì¬],13.05,0,6000,,136,116A¤é²±¤ì¬],13.40,0,11000 
137,116B¤é²±¤¤Ãc,12.80,0,3000,,138,116B¤é²±¤¤Ãc,12.95,0,25000 
139,116B¤é²±¤¤Ãc,13.20,10000,0,,140,116B¤é²±¤¤Ãc,13.30,0,20 
141,116c¤é²±Â×­ì,12.90,0,1000,,142,116C¤é²±¤K¼w,12.90,2000,0 
143,116C¤é²±¤K¼w,13.20,1000,0,,144,116C¤é²±¤K¼w,13.40,0,1000 
145,116d¤é²±¤T®l,13.40,0,20000,,146,116E¤é²±¤T­«,12.65,0,5000 
147,116E¤é²±¤T­«,13.40,30000,0,,148,116f¤é²±´_¿³,12.85,0,7000 
149,116f¤é²±´_¿³,12.90,2000,0,,150,116f¤é²±´_¿³,13.40,0,1000 
151,116F¤é²±­ûªL,12.75,3000,1000,,152,116F¤é²±­ûªL,12.80,0,5000 
153,116g¤é²±Às¼æ,13.10,0,1000,,154,116G¤é²±´º¬ü,12.70,0,1000 
155,116G¤é²±´º¬ü,12.75,2000,1000,,156,116G¤é²±´º¬ü,12.85,0,1000 
157,116H¤é²±·s¦Ë,12.65,0,1000,,158,116H¤é²±·s¦Ë,12.70,0,1000 
159,116i¤é²±¾ðªL,12.80,0,55000,,160,116i¤é²±¾ðªL,13.05,0,1000 
161,116i¤é²±¾ðªL,13.20,0,10000,,162,116I¤é²±«n¨Ê,12.70,0,15000 
163,116I¤é²±«n¨Ê,13.10,1000,0,,164,116j¤é²±ÀY¥÷,12.75,1000,0 
165,116j¤é²±ÀY¥÷,12.80,0,1000,,166,116k¤é²±¥_°ª,12.95,0,1000 
167,116K¤é²±ªá½¬,13.00,0,1000,,168,116L¤é²±¤j¼[,13.10,0,1000 
169,116L¤é²±¤j¼[,13.15,0,1000,,170,116L¤é²±¤j¼[,13.30,75000,0 
171,116m¤é²±©M¬ü,13.10,0,10000,,172,116m¤é²±©M¬ü,13.20,10000,3000 
173,116m¤é²±©M¬ü,13.40,0,10000,,174,116N¤é²±¥Ã±d,12.75,20000,0 
175,116N¤é²±¥Ã±d,12.80,0,1000,,176,116N¤é²±¥Ã±d,12.85,0,19000 
177,116N¤é²±¥Ã±d,13.20,0,20000,,178,116N¤é²±¥Ã±d,13.40,0,1000 
179,116P¤é²±«H¸q,13.20,47000,0,,180,116P¤é²±«H¸q,13.25,66000,0 
181,116Q¤é²±¤GªL,13.00,0,1000,,182,116Q¤é²±¤GªL,13.25,1000,0 
183,116r¤é²±¤å¤Æ,12.85,0,5000,,184,116s¤é²±¤g«°,12.65,2000,0 
185,116s¤é²±¤g«°,12.70,3000,0,,186,116s¤é²±¤g«°,12.85,0,1000 
187,116S¤é²±·s²ø,12.80,1000,1000,,188,116S¤é²±·s²ø,13.10,0,3000 
189,116U¤é²±®ç¶é,12.75,0,2000,,190,116V¤é²±¤æ¤»,12.70,0,1000 
191,116V¤é²±¤æ¤»,13.25,0,1000,,192,116X¤é²±©yÄõ,12.75,0,1000 
193,116X¤é²±©yÄõ,12.95,0,2000,,194,116Z¤é²±¤¤©M,12.85,0,8000 
195,116Z¤é²±¤¤©M,12.90,0,10000,,196,1230¹ü    »È,13.20,0,2000 
197,1232¹ü»È¤C½å,12.75,0,1000,,198,1232¹ü»È¤C½å,12.80,0,2000 
199,1232¹ü»È¤C½å,13.10,0,1000,,200,1260§»    »·,12.80,40000,0 
201,1260§»    »·,12.85,70000,0,,202,1260§»    »·,12.90,30000,0 
203,1260§»    »·,13.05,0,40000,,204,1260§»    »·,13.10,0,50000 
205,1260§»    »·,13.20,0,20000,,206,1261§»»·¥Á¥Í,13.10,2000,0 
207,1262§»»·®ç¶é,12.85,0,1000,,208,1262§»»·®ç¶é,13.20,30000,0 
209,1262§»»·®ç¶é,13.25,60000,0,,210,126D§»»·¥x«n,12.95,0,5000 
211,126D§»»·¥x«n,13.05,0,4000,,212,126H§»»·¤¤©M,13.15,1000,0 
213,126H§»»·¤¤©M,13.40,0,1000,,214,126Q§»»·°ª¶¯,12.80,8000,0 
215,126Q§»»·°ª¶¯,13.20,1000,0,,216,126U§»»·À]«e,12.75,0,2000 
217,126U§»»·À]«e,12.85,1000,0,,218,126U§»»·À]«e,13.20,0,5000 
219,126X§»»··s¤Æ,12.85,0,20000,,220,1440¬üªL,12.65,11000,29000 
221,1440¬üªL,12.70,13000,1000,,222,1440¬üªL,12.75,4000,11000 
223,1440¬üªL,12.80,47000,1000,,224,1440¬üªL,12.85,79000,1000 
225,1440¬üªL,12.90,18000,0,,226,1440¬üªL,12.95,1000,0 
227,1440¬üªL,13.00,3000,0,,228,1440¬üªL,13.05,16000,0 
229,1440¬üªL,13.10,0,1000,,230,1440¬üªL,13.15,1000,0 
231,1440¬üªL,13.20,1000,0,,232,1440¬üªL,13.40,0,3000 
233,1470¥xÆW¼¯®Ú,12.65,21000,0,,234,1470¥xÆW¼¯®Ú,12.70,31000,0 
235,1470¥xÆW¼¯®Ú,12.75,14000,0,,236,1470¥xÆW¼¯®Ú,12.80,46000,0 
237,1470¥xÆW¼¯®Ú,12.85,22000,0,,238,1470¥xÆW¼¯®Ú,12.90,14000,0 
239,1470¥xÆW¼¯®Ú,12.95,15000,0,,240,1470¥xÆW¼¯®Ú,13.05,11000,0 
241,1470¥xÆW¼¯®Ú,13.15,38000,0,,242,1470¥xÆW¼¯®Ú,13.20,16000,0 
243,1480¬ü°Ó°ª²±,12.65,14000,0,,244,1480¬ü°Ó°ª²±,12.70,9000,0 
245,1480¬ü°Ó°ª²±,12.75,14000,0,,246,1480¬ü°Ó°ª²±,12.80,5000,0 
247,1480¬ü°Ó°ª²±,12.85,17000,0,,248,1480¬ü°Ó°ª²±,12.90,1000,0 
249,1480¬ü°Ó°ª²±,12.95,1000,0,,250,1480¬ü°Ó°ª²±,13.05,2000,0 
251,1480¬ü°Ó°ª²±,13.10,2000,0,,252,1480¬ü°Ó°ª²±,13.15,2000,0 
253,1480¬ü°Ó°ª²±,13.20,3000,0,,254,1480¬ü°Ó°ª²±,13.40,4000,0 
255,1520·ç¤h«H¶U,12.70,5000,0,,256,1520·ç¤h«H¶U,12.75,13000,0 
257,1520·ç¤h«H¶U,12.80,29000,2000,,258,1520·ç¤h«H¶U,12.85,160000,29000 
259,1520·ç¤h«H¶U,12.90,53000,4000,,260,1520·ç¤h«H¶U,12.95,32000,0 
261,1520·ç¤h«H¶U,13.00,8000,4000,,262,1520·ç¤h«H¶U,13.05,59000,50000 
263,1520·ç¤h«H¶U,13.10,0,85000,,264,1520·ç¤h«H¶U,13.15,0,51000 
265,1520·ç¤h«H¶U,13.20,0,82000,,266,1560´ä°Ó³¥§ø,12.65,0,7000 
267,1560´ä°Ó³¥§ø,12.70,0,23000,,268,1560´ä°Ó³¥§ø,12.75,0,39000 
269,1560´ä°Ó³¥§ø,12.80,21000,39000,,270,1560´ä°Ó³¥§ø,12.85,6000,51000 
271,1560´ä°Ó³¥§ø,12.90,1000,9000,,272,1560´ä°Ó³¥§ø,12.95,7000,17000 
