¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="1305"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
1,1021¦X®w¥x¤¤,19.20,1000,0,,2,1021¦X®w¥x¤¤,19.30,1000,0 
3,1021¦X®w¥x¤¤,19.35,1000,0,,4,1021¦X®w¥x¤¤,19.50,0,2000 
5,1021¦X®w¥x¤¤,19.55,5000,0,,6,1023¦X®w°ª¶¯,19.25,1000,0 
7,1024¦X®w¹Å¸q,19.20,1000,0,,8,1024¦X®w¹Å¸q,19.45,4000,0 
9,1025¦X®w°ò¶©,19.30,1000,0,,10,1025¦X®w°ò¶©,19.35,3000,0 
11,1028¦X®w¹ü¤Æ,19.20,20000,0,,12,1028¦X®w¹ü¤Æ,19.30,20000,0 
13,102C¦X®w¦Û±j,19.20,1000,0,,14,102E¦X®w®ç¶é,19.40,0,3000 
15,1031¤g»È¥x¤¤,19.25,1000,1000,,16,1040»O    »È,19.30,42,0 
17,1041»O»È»ñ¤s,19.35,20000,0,,18,1042»O»È»O«n,19.20,1000,0 
19,1042»O»È»O«n,19.25,1000,0,,20,1042»O»È»O«n,19.40,0,5000 
21,1042»O»È»O«n,19.50,2000,0,,22,1043»O»È¥ÁÅv,19.20,2000,0 
23,1043»O»È¥ÁÅv,19.25,1000,0,,24,1043»O»È¥ÁÅv,19.30,1000,0 
25,104A»O»È»O¤¤,19.25,3000,0,,26,104A»O»È»O¤¤,19.30,0,1000 
27,104A»O»È»O¤¤,19.40,1000,0,,28,104A»O»È»O¤¤,19.55,0,2000 
29,104C»O»È°ª¶¯,19.25,1000,0,,30,104C»O»È°ª¶¯,19.30,1000,0 
31,104C»O»È°ª¶¯,19.40,1000,0,,32,104D»O»Èª÷¤s,19.20,1000,0 
33,104D»O»Èª÷¤s,19.40,1000,0,,34,104D»O»Èª÷¤s,19.45,1000,0 
35,1113¥ø»È¤E¦p,19.35,0,3000,,36,1114¥ø»È¹Å¸q,19.30,5000,0 
37,1161¤é²±©¾§µ,19.20,1000,0,,38,1161¤é²±©¾§µ,19.50,0,5000 
39,1162¤é²±¥x«n,19.30,0,2000,,40,1162¤é²±¥x«n,19.45,1000,0 
41,1163¤é²±¥x¤¤,19.20,1000,0,,42,1166¤é²±Âù©M,19.20,0,10000 
43,1166¤é²±Âù©M,19.25,10000,0,,44,1166¤é²±Âù©M,19.30,100,0 
45,1166¤é²±Âù©M,19.40,0,2000,,46,1168¤é²±°ª¶¯,19.20,3000,0 
47,1168¤é²±°ª¶¯,19.25,1000,0,,48,116b¤é²±¶é°Ï,19.25,0,22000 
49,116b¤é²±¶é°Ï,19.55,0,8000,,50,116B¤é²±¤¤Ãc,19.20,7000,2000 
51,116B¤é²±¤¤Ãc,19.25,1000,0,,52,116B¤é²±¤¤Ãc,19.30,5000,0 
53,116B¤é²±¤¤Ãc,19.35,4000,0,,54,116B¤é²±¤¤Ãc,19.50,0,2000 
55,116c¤é²±Â×­ì,19.20,0,3000,,56,116E¤é²±¤T­«,19.20,1000,0 
57,116f¤é²±´_¿³,19.45,4000,0,,58,116F¤é²±­ûªL,19.30,1000,0 
59,116F¤é²±­ûªL,19.55,1000,0,,60,116G¤é²±´º¬ü,19.15,1000,0 
61,116G¤é²±´º¬ü,19.20,0,3000,,62,116G¤é²±´º¬ü,19.25,1000,0 
63,116G¤é²±´º¬ü,19.40,2000,0,,64,116G¤é²±´º¬ü,19.55,1000,0 
65,116H¤é²±·s¦Ë,19.40,0,1000,,66,116j¤é²±ÀY¥÷,19.20,0,3000 
67,116j¤é²±ÀY¥÷,19.30,1000,0,,68,116j¤é²±ÀY¥÷,19.40,1000,0 
69,116j¤é²±ÀY¥÷,19.45,1000,0,,70,116k¤é²±¥_°ª,19.45,0,1000 
71,116K¤é²±ªá½¬,19.45,0,7000,,72,116L¤é²±¤j¼[,19.20,0,4000 
73,116P¤é²±«H¸q,19.40,20000,0,,74,116Q¤é²±¤GªL,19.35,1000,0 
75,116r¤é²±¤å¤Æ,19.20,0,3000,,76,116r¤é²±¤å¤Æ,19.40,1000,0 
77,116Z¤é²±¤¤©M,19.25,2000,0,,78,116Z¤é²±¤¤©M,19.50,0,1000 
79,1230¹ü    »È,19.50,0,1000,,80,126Q§»»·°ª¶¯,19.20,1000,1000 
81,126U§»»·À]«e,19.15,0,2000,,82,126U§»»·À]«e,19.45,0,1000 
83,1360´ä³Á®æ²z,19.15,0,17000,,84,1360´ä³Á®æ²z,19.20,0,87000 
85,1360´ä³Á®æ²z,19.30,0,519,,86,1440¬üªL,19.20,1000,0 
87,1440¬üªL,19.25,6000,51000,,88,1440¬üªL,19.30,0,7000 
89,1440¬üªL,19.35,0,62000,,90,1440¬üªL,19.40,8000,17000 
91,1440¬üªL,19.45,5000,39000,,92,1440¬üªL,19.50,0,88000 
93,1440¬üªL,19.55,32000,4000,,94,1440¬üªL,19.60,13000,0 
95,1470¥xÆW¼¯®Ú,19.25,0,1000,,96,1470¥xÆW¼¯®Ú,19.30,0,3000 
97,1470¥xÆW¼¯®Ú,19.40,6000,0,,98,1470¥xÆW¼¯®Ú,19.45,0,61000 
99,1470¥xÆW¼¯®Ú,19.50,0,38000,,100,1480¬ü°Ó°ª²±,19.25,0,24000 
101,1480¬ü°Ó°ª²±,19.45,0,8000,,102,1520·ç¤h«H¶U,19.20,8000,25000 
103,1520·ç¤h«H¶U,19.25,0,61000,,104,1520·ç¤h«H¶U,19.30,0,83000 
105,1520·ç¤h«H¶U,19.35,0,52000,,106,1520·ç¤h«H¶U,19.40,0,26000 
107,1520·ç¤h«H¶U,19.45,6000,19000,,108,1520·ç¤h«H¶U,19.50,0,9000 
109,1520·ç¤h«H¶U,19.55,3000,0,,110,1560´ä°Ó³¥§ø,19.20,0,13000 
111,1560´ä°Ó³¥§ø,19.25,0,10000,,112,1560´ä°Ó³¥§ø,19.30,0,49000 
113,1560´ä°Ó³¥§ø,19.40,0,21000,,114,1560´ä°Ó³¥§ø,19.45,0,24000 
115,1560´ä°Ó³¥§ø,19.50,0,9000,,116,1560´ä°Ó³¥§ø,19.55,0,5000 
117,1650·ç»È,19.30,0,10000,,118,2180¨È    ªF,19.40,1000,0 
119,2181¨ÈªFªO¾ô,19.20,1000,0,,120,2181¨ÈªFªO¾ô,19.25,1000,0 
121,2186¨ÈªF°ª¶¯,19.20,0,100000,,122,2187¨ÈªF¥x¤¤,19.20,1000,0 
123,2187¨ÈªF¥x¤¤,19.40,0,1000,,124,2187¨ÈªF¥x¤¤,19.45,15000,0 
125,5050¤j    ®i,19.20,0,1000,,126,5050¤j    ®i,19.50,1000,0 
127,5112´I¶©ªø¦w,19.20,0,4000,,128,5112´I¶©ªø¦w,19.50,0,5000 
129,5260¤j    ¼y,19.30,1000,0,,130,5267¤j¼y°ò¶©,19.45,20000,0 
131,5268¤j¼y¥x«n,19.20,3000,0,,132,5268¤j¼y¥x«n,19.30,1000,0 
133,5269¤j¼y¥x¤¤,19.20,3000,0,,134,526K¤j¼y´I¶¶,19.30,10000,0 
135,526K¤j¼y´I¶¶,19.45,0,2000,,136,526K¤j¼y´I¶¶,19.50,0,2000 
137,5321°ª¾ôÀs¼æ,19.20,5000,2000,,138,5321°ª¾ôÀs¼æ,19.50,1000,0 
139,5383²Ä¤@°ª¶¯,19.40,1000,0,,140,5384²Ä¤@¥x«n,19.25,100000,0 
