¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="1314"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
1,1020¦X¡@¡@®w,8.25,1000,0,,2,1020¦X¡@¡@®w,8.30,20000,0 
3,1020¦X¡@¡@®w,8.31,30000,0,,4,1021¦X®w¥x¤¤,8.28,12000,0 
5,1021¦X®w¥x¤¤,8.29,2000,0,,6,1022¦X®w¥x«n,8.26,5000,0 
7,1022¦X®w¥x«n,8.27,2000,0,,8,1022¦X®w¥x«n,8.31,0,1000 
9,1023¦X®w°ª¶¯,8.23,3000,0,,10,1023¦X®w°ª¶¯,8.24,1000,0 
11,1023¦X®w°ª¶¯,8.30,1000,0,,12,1024¦X®w¹Å¸q,8.23,10000,0 
13,1024¦X®w¹Å¸q,8.29,20000,0,,14,1024¦X®w¹Å¸q,8.31,30000,10000 
15,1025¦X®w°ò¶©,8.23,1000,0,,16,1025¦X®w°ò¶©,8.30,3000,0 
17,1028¦X®w¹ü¤Æ,8.26,5000,0,,18,1029¦X®w»ñ¤s,8.25,1000,0 
19,1029¦X®w»ñ¤s,8.30,0,7000,,20,1029¦X®w»ñ¤s,8.31,0,2000 
21,102A¦X®w·s¦Ë,8.24,0,5000,,22,102C¦X®w¦Û±j,8.27,3000,3000 
23,102C¦X®w¦Û±j,8.29,2000,0,,24,102C¦X®w¦Û±j,8.30,0,2000 
25,102E¦X®w®ç¶é,8.23,0,10000,,26,102E¦X®w®ç¶é,8.25,0,8000 
27,102E¦X®w®ç¶é,8.26,6000,0,,28,102E¦X®w®ç¶é,8.31,15000,0 
29,102F¦X®w¦è¥x,8.25,1000,0,,30,102G¦X®w¤T­«,8.25,5000,0 
31,102G¦X®w¤T­«,8.30,1000,0,,32,1030¤g¡@¡@»È,8.29,0,50000 
33,1032¤g»È¥x«n,8.25,0,6000,,34,1034¤g»È¹Å¸q,8.23,4000,0 
35,1034¤g»È¹Å¸q,8.30,2000,0,,36,1034¤g»È¹Å¸q,8.31,3000,10000 
37,1035¤g»È·s¦Ë,8.25,1000,0,,38,1035¤g»È·s¦Ë,8.26,0,2000 
39,1035¤g»È·s¦Ë,8.30,1000,0,,40,103A¤g»È«Ø°ê,8.32,10000,0 
41,1040»O    »È,8.26,2000,0,,42,1040»O    »È,8.30,0,1000 
43,1040»O    »È,8.32,0,2000,,44,1041»O»È»ñ¤s,8.23,5000,0 
45,1041»O»È»ñ¤s,8.24,5000,2,,46,1041»O»È»ñ¤s,8.31,0,1000 
47,1041»O»È»ñ¤s,8.32,0,1000,,48,1042»O»È»O«n,8.24,0,500 
49,1042»O»È»O«n,8.25,3000,0,,50,1042»O»È»O«n,8.28,3000,0 
51,1042»O»È»O«n,8.29,1000,0,,52,1042»O»È»O«n,8.31,5000,0 
