¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="1312"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
1,1020¦X¡@¡@®w,14.35,1000,0,,2,1021¦X®w¥x¤¤,14.35,1000,0 
3,1022¦X®w¥x«n,14.20,20000,0,,4,1023¦X®w°ª¶¯,14.95,1,0 
5,1024¦X®w¹Å¸q,14.30,7000,0,,6,1024¦X®w¹Å¸q,14.40,5000,0 
7,1025¦X®w°ò¶©,14.25,1000,0,,8,102A¦X®w·s¦Ë,14.15,0,18000 
9,102C¦X®w¦Û±j,14.15,10000,0,,10,102C¦X®w¦Û±j,14.30,0,1000 
11,102E¦X®w®ç¶é,14.15,1000,0,,12,102E¦X®w®ç¶é,14.20,1000,0 
13,102E¦X®w®ç¶é,14.30,8000,0,,14,102F¦X®w¦è¥x,14.20,5000,0 
15,1030¤g¡@¡@»È,14.25,1000,0,,16,1030¤g¡@¡@»È,14.30,2000,0 
17,1031¤g»È¥x¤¤,14.25,5000,0,,18,1031¤g»È¥x¤¤,14.35,0,2000 
19,1033¤g»È°ª¶¯,14.15,0,1000,,20,1033¤g»È°ª¶¯,14.40,0,2000 
21,1035¤g»È·s¦Ë,14.25,5000,0,,22,1035¤g»È·s¦Ë,14.30,1000,0 
23,1035¤g»È·s¦Ë,14.35,1000,0,,24,1035¤g»È·s¦Ë,14.40,5000,0 
25,1035¤g»È·s¦Ë,14.50,0,5000,,26,103A¤g»È«Ø°ê,14.15,20000,0 
27,1040»O    »È,14.15,1000,0,,28,1040»O    »È,14.20,0,3000 
29,1040»O    »È,14.25,1000,0,,30,1040»O    »È,14.30,1000,0 
31,1040»O    »È,14.40,0,20000,,32,1041»O»È»ñ¤s,14.20,1000,0 
33,1042»O»È»O«n,14.15,0,10000,,34,1042»O»È»O«n,14.20,2000,0 
35,1043»O»È¥ÁÅv,14.20,9000,0,,36,104A»O»È»O¤¤,14.15,0,1000 
37,104A»O»È»O¤¤,14.35,1000,0,,38,104D»O»Èª÷¤s,14.20,2000,0 
39,1112¥ø»È¥x«n,14.30,3000,0,,40,1115¥ø»È¤Ó¥­,14.15,5000,10000 
