¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="1307"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
1,1020¦X¡@¡@®w,23.45,0,1000,,2,1020¦X¡@¡@®w,23.60,0,2000 
3,1020¦X¡@¡@®w,23.65,1000,0,,4,1021¦X®w¥x¤¤,23.45,1000,0 
5,1021¦X®w¥x¤¤,23.55,2000,0,,6,1021¦X®w¥x¤¤,23.60,1000,0 
7,1021¦X®w¥x¤¤,23.70,0,1000,,8,102E¦X®w®ç¶é,23.55,0,3000 
9,1030¤g¡@¡@»È,23.50,1000,0,,10,1030¤g¡@¡@»È,23.65,1000,0 
11,1030¤g¡@¡@»È,24.05,0,2000,,12,1033¤g»È°ª¶¯,23.45,0,2000 
13,1033¤g»È°ª¶¯,23.80,2000,0,,14,1034¤g»È¹Å¸q,23.60,8000,0 
15,1035¤g»È·s¦Ë,23.50,1000,0,,16,1038¤g»È©M¥­,23.50,0,1000 
17,1040»O    »È,23.50,0,1000,,18,1040»O    »È,23.65,0,5000 
19,1040»O    »È,23.75,0,2000,,20,1043»O»È¥ÁÅv,23.50,5000,0 
21,1045»O»È·s¦Ë,23.60,2000,0,,22,1045»O»È·s¦Ë,24.00,1000,0 
23,104A»O»È»O¤¤,23.60,10000,0,,24,104A»O»È»O¤¤,24.10,2000,0 
25,104C»O»È°ª¶¯,23.50,5000,0,,26,104C»O»È°ª¶¯,23.60,0,5000 
27,104C»O»È°ª¶¯,23.70,20000,0,,28,104D»O»Èª÷¤s,23.35,2000,0 
29,1113¥ø»È¤E¦p,23.70,2000,0,,30,1113¥ø»È¤E¦p,23.95,1000,0 
31,1113¥ø»È¤E¦p,24.05,2000,0,,32,1115¥ø»È¤Ó¥­,23.90,5000,0 
33,111B¥x¥ø«Ø¦¨,23.75,1000,0,,34,111B¥x¥ø«Ø¦¨,24.15,0,1000 
35,111C¥x¥ø¤T¥Á,23.80,1000,0,,36,111C¥x¥ø¤T¥Á,24.05,0,1000 
37,1162¤é²±¥x«n,23.45,3000,0,,38,1162¤é²±¥x«n,23.50,2000,0 
39,1162¤é²±¥x«n,23.55,1000,0,,40,1162¤é²±¥x«n,23.60,3000,0 
41,116b¤é²±¶é°Ï,23.65,0,1000,,42,116b¤é²±¶é°Ï,24.05,0,1000 
43,116C¤é²±¤K¼w,24.05,0,1000,,44,116F¤é²±­ûªL,23.75,0,5000 
45,116F¤é²±­ûªL,23.90,1000,0,,46,116F¤é²±­ûªL,23.95,1000,0 
47,116i¤é²±¾ðªL,23.75,0,2000,,48,116j¤é²±ÀY¥÷,23.50,3000,0 
49,116j¤é²±ÀY¥÷,23.65,2000,0,,50,116j¤é²±ÀY¥÷,23.75,5000,0 
51,116k¤é²±¥_°ª,23.50,1000,0,,52,116K¤é²±ªá½¬,23.50,2000,0 
53,116L¤é²±¤j¼[,23.45,1000,0,,54,116m¤é²±©M¬ü,23.80,2000,0 
55,116N¤é²±¥Ã±d,23.35,3000,0,,56,116N¤é²±¥Ã±d,23.45,1000,0 
57,116N¤é²±¥Ã±d,23.55,2000,0,,58,116N¤é²±¥Ã±d,23.65,1000,0 
59,116N¤é²±¥Ã±d,23.70,1000,0,,60,116N¤é²±¥Ã±d,23.75,3000,0 
61,116N¤é²±¥Ã±d,23.85,3000,0,,62,116P¤é²±«H¸q,23.45,10000,0 
63,116Q¤é²±¤GªL,23.95,1000,0,,64,116W¤é²±»ñ¤s,23.90,5000,0 
65,116Z¤é²±¤¤©M,23.75,0,1000,,66,1262§»»·®ç¶é,23.65,0,2000 
67,1262§»»·®ç¶é,23.75,1000,0,,68,1262§»»·®ç¶é,24.00,1000,0 
69,126U§»»·À]«e,23.95,0,2000,,70,126X§»»··s¤Æ,23.60,1000,0 
71,1440¬üªL,23.40,0,5000,,72,1440¬üªL,23.45,0,4000 
73,1440¬üªL,23.50,3000,11000,,74,1440¬üªL,23.55,2000,8000 
75,1440¬üªL,23.60,6000,1000,,76,1440¬üªL,23.65,1000,3000 
77,1440¬üªL,23.70,0,8000,,78,1440¬üªL,23.75,0,3000 
79,1440¬üªL,23.80,0,2000,,80,1440¬üªL,23.90,0,2000 
81,1440¬üªL,23.95,1000,0,,82,1440¬üªL,24.05,6000,0 
83,1480¬ü°Ó°ª²±,23.30,0,5000,,84,1480¬ü°Ó°ª²±,23.35,0,2000 
85,1480¬ü°Ó°ª²±,23.40,0,40000,,86,1480¬ü°Ó°ª²±,23.45,0,27000 
87,1480¬ü°Ó°ª²±,23.50,0,35000,,88,1480¬ü°Ó°ª²±,23.55,0,17000 
89,1480¬ü°Ó°ª²±,23.60,0,30000,,90,1480¬ü°Ó°ª²±,23.65,0,14000 
91,1480¬ü°Ó°ª²±,23.70,0,17000,,92,1480¬ü°Ó°ª²±,23.75,0,5000 
93,1480¬ü°Ó°ª²±,23.80,0,12000,,94,1480¬ü°Ó°ª²±,23.85,0,4000 
95,1480¬ü°Ó°ª²±,23.90,0,5000,,96,1480¬ü°Ó°ª²±,23.95,0,3000 
97,1480¬ü°Ó°ª²±,24.00,0,8000,,98,1480¬ü°Ó°ª²±,24.05,0,7000 
99,1480¬ü°Ó°ª²±,24.10,0,4000,,100,1520·ç¤h«H¶U,23.65,0,3000 
101,1520·ç¤h«H¶U,23.80,0,1000,,102,1560´ä°Ó³¥§ø,23.40,0,9000 
103,1560´ä°Ó³¥§ø,23.45,0,1000,,104,1560´ä°Ó³¥§ø,23.50,1000,0 
105,1560´ä°Ó³¥§ø,23.55,1000,0,,106,1560´ä°Ó³¥§ø,23.90,0,1000 
107,1590ªáºXÀô²y,23.45,0,25000,,108,1590ªáºXÀô²y,23.50,0,3000 
109,1590ªáºXÀô²y,23.55,0,8000,,110,1590ªáºXÀô²y,23.70,0,2000 
111,1590ªáºXÀô²y,23.80,0,1000,,112,1590ªáºXÀô²y,24.00,0,3000 
113,1650·ç»È,23.50,0,13000,,114,1650·ç»È,23.55,0,3000 
115,1650·ç»È,23.60,0,7000,,116,2181¨ÈªFªO¾ô,23.55,5000,0 
117,2184¨ÈªF·s¦Ë,23.45,10000,0,,118,2187¨ÈªF¥x¤¤,23.80,4000,0 
119,5050¤j    ®i,23.30,0,7000,,120,5050¤j    ®i,23.35,0,3000 
121,526K¤j¼y´I¶¶,23.50,1000,0,,122,5384²Ä¤@¥x«n,23.45,0,6000 
123,5384²Ä¤@¥x«n,23.65,3000,0,,124,5384²Ä¤@¥x«n,23.95,2000,0 
125,538A²Ä¤@·s¿³,23.30,2000,0,,126,538A²Ä¤@·s¿³,23.45,2000,0 
127,538A²Ä¤@·s¿³,23.60,2000,0,,128,538P²Ä¤@¸ô¦Ë,23.40,0,2000 
129,538P²Ä¤@¸ô¦Ë,23.45,2000,0,,130,538P²Ä¤@¸ô¦Ë,23.50,1000,0 
131,538P²Ä¤@¸ô¦Ë,23.55,1000,0,,132,538P²Ä¤@¸ô¦Ë,23.80,1000,0 
133,538P²Ä¤@¸ô¦Ë,24.05,0,3000,,134,538W²Ä¤@µØ¦¿,23.50,0,1000 
135,538W²Ä¤@µØ¦¿,23.55,1000,1000,,136,538W²Ä¤@µØ¦¿,23.75,1000,0 
137,538W²Ä¤@µØ¦¿,24.00,0,1000,,138,538Y²Ä¤@¤¤Ãc,23.75,0,10000 
139,5600¥Ã    ¿³,23.45,1000,0,,140,5850²Î    ¤@,24.00,1000,0 
141,5856²Î¤@¥x¤¤,23.60,1000,0,,142,5856²Î¤@¥x¤¤,24.00,2000,0 
