¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="1304"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
1,1020¦X¡@¡@®w,12.00,2000,0,,2,102C¦X®w¦Û±j,12.00,1,0 
3,102F¦X®w¦è¥x,12.05,0,5000,,4,1030¤g¡@¡@»È,12.00,0,10000 
5,1032¤g»È¥x«n,11.95,52000,0,,6,1032¤g»È¥x«n,12.00,29000,0 
7,1041»O»È»ñ¤s,12.00,20000,0,,8,104A»O»È»O¤¤,12.00,1000,0 
9,104C»O»È°ª¶¯,12.00,10,0,,10,1116¥ø»È«ÌªF,12.00,0,1000 
11,1116¥ø»È«ÌªF,12.05,0,1000,,12,1162¤é²±¥x«n,12.00,860,0 
13,1166¤é²±Âù©M,12.00,2000,0,,14,116B¤é²±¤¤Ãc,12.00,1000,0 
15,116c¤é²±Â×­ì,12.00,1000,0,,16,116G¤é²±´º¬ü,12.00,0,4000 
17,116H¤é²±·s¦Ë,11.95,2000,0,,18,116H¤é²±·s¦Ë,12.00,1000,0 
19,116k¤é²±¥_°ª,12.00,1000,2000,,20,116N¤é²±¥Ã±d,12.05,0,2000 
21,116Q¤é²±¤GªL,11.95,0,2000,,22,116Q¤é²±¤GªL,12.00,0,2000 
23,116Q¤é²±¤GªL,12.05,2000,0,,24,116S¤é²±·s²ø,12.05,0,10000 
25,116Z¤é²±¤¤©M,12.10,1000,0,,26,1230¹ü    »È,12.00,2000,0 
27,126Q§»»·°ª¶¯,11.90,4000,0,,28,126Q§»»·°ª¶¯,11.95,0,4000 
29,126Q§»»·°ª¶¯,12.00,15000,0,,30,126Q§»»·°ª¶¯,12.05,0,14000 
31,126Q§»»·°ª¶¯,12.10,0,5000,,32,126U§»»·À]«e,11.95,10000,0 
